"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"356","Carlos Watkins (TEN)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.8%"
"356","Samson Ebukam (IND)","23","10","2","5","0","0","0","1","0","14","0.0","0.0","4.4%"
"356","Bradley Chubb (MIA)","24","23","8.5","8","0","0","2","1","0","17","0.0","0.0","16.2%"
"356","Harold Landry III (NE)","27","21","8.5","10","0","0","1","0","0","15","0.0","0.0","24.6%"
"356","Uchenna Nwosu (SEA)","17","18","7","7","3","0","0","0","0","16","0.0","0.0","5.1%"
"356","Ogbo Okoronkwo (PHI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"356","Jacob Martin (WAS)","17","22","5.5","3","1","0","1","0","0","17","0.0","0.0","3.3%"
"356","Dennis Gardeck (JAC)","24","13","2.5","6","2","0","1","0","0","17","0.0","0.0","1.3%"
"356","Rashan Gary (GB)","25","20","7.5","7","1","0","1","1","0","16","0.0","0.0","25.9%"
"356","Jahlani Tavai (NE)","18","16","0","4","0","0","1","0","0","12","0.0","0.0","0.7%"
"356","L.J. Collier (ARI)","1","5","0","0","0","0","0","0","0","4","0.0","0.0","9.1%"
"356","Andrew Van Ginkel (MIN)","28","26","7","11","10","1","0","2","0","12","0.0","0.0","55.9%"
"356","Quinton Bell (MIA)","0","6","0","0","0","0","0","1","0","5","0.0","0.0","0.6%"
"356","Darrell Taylor (HOU)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.6%"
"356","Anfernee Jennings (NE)","13","6","2","5","0","0","0","1","0","14","0.0","0.0","1.7%"
"356","Alex Highsmith (PIT)","36","14","9.5","15","3","0","1","0","0","13","0.0","0.0","39.3%"
"356","Tomon Fox (NYG)","2","1","0","0","0","0","0","0","0","8","0.0","0.0","1.1%"
"356","Micah Parsons (GB)","19","22","12.5","12","1","0","2","0","0","14","0.0","0.0","56.8%"
"356","Zaven Collins (ARI)","24","12","1.5","6","0","0","0","2","1","17","0.0","0.0","5.7%"
"356","Joe Tryon-Shoyinka (CHI)","7","10","0","1","0","0","0","0","0","14","0.0","0.0","0.7%"
"356","Baron Browning (ARI)","14","19","2","4","1","1","0","1","0","15","0.0","0.0","1.7%"
"356","Azeez Ojulari (PHI)","2","4","0","1","0","0","0","0","0","3","0.0","0.0","1.4%"
"356","Brenton Cox Jr. (GB)","2","3","1","1","0","0","1","0","0","4","0.0","0.0","1.4%"
"356","Charles Snowden (LV)","16","10","3","5","2","1","0","0","0","15","0.0","0.0","0.7%"
"356","Jamin Davis (LV)","1","2","0","0","0","0","0","0","0","4","0.0","0.0","1.5%"
"356","Tarron Jackson (SF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"356","Isaiahh Loudermilk (PIT)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"356","Malik Herring (KC)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.8%"
"356","Xavier Thomas (ARI)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.2%"
"356","Arron Mosby (GB)","0","0","0","0","0","0","0","0","0","8","0.0","0.0","1.9%"
"356","Cameron Goode (MIA)","2","5","0","0","1","0","0","0","0","16","0.0","0.0","1.1%"
"356","James Houston (DAL)","13","11","5.5","6","0","0","1","1","0","17","0.0","0.0","2.6%"
"356","Daniel Hardy (CHI)","1","2","0","0","0","0","0","0","0","15","0.0","0.0","0.8%"
"356","Jaquelin Roy (NE)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"356","Dylan Cook (PIT)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"356","Nick Hampton (LAR)","1","4","0","0","0","0","0","0","0","12","0.0","0.0","1.0%"
"356","Durell Nchami (IND)","1","1","0","0","0","0","0","0","0","3","0.0","0.0","3.5%"
"356","D.J. Johnson (CAR)","2","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"356","Gabriel Murphy (MIN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"356","Mike Morris (SEA)","5","5","0","2","1","0","0","0","0","17","0.0","0.0","1.1%"
"356","Yasir Abdullah (JAC)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.2%"
"356","Nick Herbig (PIT)","21","9","7.5","13","3","1","3","1","1","15","0.0","0.0","13.8%"
"356","Titus Leo (PHI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"356","Scott Matlock (LAC)","0","0","0","0","0","0","0","0","0","16","0.0","0.0","1.2%"
