PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,RUSH %,TGT %,TOUCH %,UTIL %,FANTASY PTS,PTS/100 SNAPS
Kyle Pitts Sr.,TE,ATL,17,961,57,88,0,12,9,12,122.8,12.8
Malik Washington,WR,MIA,17,563,33,57,3,12,11,15,70.7,12.6
Tyler Higbee,TE,LAR,10,366,37,55,0,10,7,10,46.1,12.6
Tyler Warren,TE,IND,17,899,53,84,1,12,9,13,112.5,12.5
Justin Jefferson,WR,MIN,17,941,55,94,0,15,9,15,117.5,12.5
Calvin Austin III,WR,PIT,14,446,32,53,0,12,7,12,55.2,12.4
Chimere Dike,WR,TEN,17,631,37,60,2,12,9,13,78.1,12.4
Brian Thomas Jr.,WR,JAC,14,741,53,78,0,12,7,13,90.8,12.3
DJ Moore,WR,CHI,17,979,58,85,2,9,7,10,120.2,12.3
Brenton Strange,TE,JAC,12,591,49,75,0,10,8,10,72.0,12.2
Juwan Johnson,TE,NO,17,850,50,76,0,12,9,12,102.9,12.1
Calvin Ridley,WR,TEN,7,250,36,58,0,14,7,14,30.3,12.1
Kalif Raymond,WR,DET,15,358,24,37,1,8,7,9,42.8,12.0
Brady Cook,QB,NYJ,5,296,59,98,4,0,56,56,35.4,12.0
Austin Ekeler,RB,WAS,2,69,35,50,20,10,28,30,8.1,11.7
Chris Godwin Jr.,WR,TB,9,428,48,71,0,12,8,12,50.0,11.7
Jakobi Meyers,WR,JAC,16,872,55,85,1,13,9,13,100.8,11.6
Dalton Schultz,TE,HOU,17,827,49,71,0,13,10,13,95.7,11.6
Albert Okwuegbunam Jr.,TE,LV,1,31,31,46,0,19,16,19,3.6,11.6
AJ Barner,TE,SEA,17,827,49,78,1,8,7,9,95.3,11.5
Evan Engram,TE,DEN,16,458,29,42,0,17,11,17,52.8,11.5
Terrance Ferguson,TE,LAR,13,356,27,41,0,7,3,7,41.1,11.5
Dontayvion Wicks,WR,GB,14,408,29,47,0,11,8,12,45.8,11.2
Keon Coleman,WR,BUF,13,576,44,65,0,10,7,10,64.4,11.2
Tre Tucker,WR,LV,17,942,55,95,1,10,7,11,104.7,11.1
Adonai Mitchell,WR,NYJ,16,498,31,50,0,15,7,15,54.9,11.0
Travis Hunter,WR,JAC,7,324,46,67,0,14,9,14,35.8,11.0
Ricky Pearsall,WR,SF,9,480,53,78,0,11,8,11,52.6,11.0
Jalen Nailor,WR,MIN,17,653,38,65,0,8,5,8,71.7,11.0
Tim Patrick,WR,JAC,16,336,21,31,0,7,4,7,36.7,10.9
Noah Fant,TE,CIN,15,379,25,38,0,11,9,11,40.8,10.8
Andy Dalton,QB,CAR,4,97,24,37,5,0,43,43,10.5,10.8
Xavier Worthy,WR,KC,14,645,46,70,2,11,8,13,67.9,10.5
Elijah Moore,WR,BUF,9,186,21,31,3,9,8,12,19.6,10.5
David Njoku,TE,CLE,12,514,43,64,0,9,6,9,53.3,10.4
Dawson Knox,TE,BUF,17,653,38,58,0,8,6,8,67.7,10.4
Mack Hollins,WR,NE,15,657,44,68,0,10,7,10,67.4,10.3
Chig Okonkwo,TE,TEN,17,666,39,63,0,12,8,12,68.0,10.2
Chris Oladokun,QB,KC,3,109,36,72,5,0,55,55,11.1,10.2
Hunter Renfrow,WR,CAR,6,210,35,51,0,12,7,12,20.9,10.0
Josh Oliver,TE,MIN,15,400,27,46,0,5,4,5,40.0,10.0
Isaiah Williams,WR,NYJ,11,329,30,49,1,11,9,12,32.7,9.9
