"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Keon Coleman","BUF","19.4","266.0","2.3","0.0","0.0","0.0","0.2","49.4"
"Jaylin Lane","WAS","22.7","279.2","1.8","0.0","0.0","0.0","0.2","49.4"
"Nick Westbrook-Ikhine","IND","21.7","269.6","2.0","0.0","0.0","0.0","0.2","49.3"
"Jahdae Walker","CHI","17.1","225.8","2.7","0.5","3.5","0.0","0.0","47.4"
"Cedric Tillman","CLE","18.5","232.1","2.1","0.0","-0.5","0.0","0.0","45.0"
"Demarcus Robinson","SF","17.6","252.5","1.6","0.5","2.5","0.0","0.0","44.0"
"Tutu Atwell","MIA","20.4","291.7","0.5","2.2","11.3","0.1","0.2","43.2"
"Kevin Coleman Jr.","MIA","21.1","270.5","0.7","0.0","0.0","0.0","0.2","41.2"
"Kendrick Bourne","ARI","22.8","239.4","0.7","0.0","0.0","0.0","0.2","38.9"
"Kalif Raymond","CHI","19.2","187.0","0.9","4.6","27.2","0.2","0.2","36.9"
"Cyrus Allen","KC","16.2","202.8","1.3","0.0","0.0","0.0","0.2","35.6"
"Skyler Bell","BUF","15.1","205.5","1.2","0.0","0.0","0.0","0.2","35.0"
"Bryce Lance","NO","16.4","204.4","0.9","0.0","0.0","0.0","0.2","33.9"
"Jordan Whittington","LAR","15.0","171.9","1.2","2.3","12.1","0.1","0.2","33.6"
"Devontez Walker","BAL","11.6","166.4","1.2","0.0","0.0","0.0","0.1","29.3"
"Zavion Thomas","CHI","12.5","153.6","1.2","0.0","0.0","0.0","0.1","28.7"
"Odell Beckham Jr.","NYG","13.3","164.3","0.9","0.3","1.4","0.0","0.1","28.5"
"Malachi Fields","NYG","13.2","157.5","0.9","0.0","0.0","0.0","0.1","27.4"
"Dont'e Thornton Jr.","LV","12.1","167.6","0.6","0.0","0.0","0.0","0.1","26.2"
"Isaiah Bond","CLE","9.9","130.1","0.8","4.3","23.5","0.1","0.1","25.4"
"Konata Mumpfield","LAR","9.9","126.7","1.2","0.0","0.0","0.0","0.1","24.3"
"Brenen Thompson","LAC","9.5","121.0","0.7","2.1","11.3","0.1","0.1","22.6"
"Mack Hollins","NE","10.8","126.7","0.8","0.0","0.0","0.0","0.1","22.6"
"KeAndre Lambert-Smith","LAC","9.6","121.0","0.9","0.0","0.0","0.0","0.1","21.8"
"Kyle Williams","NE","6.4","91.5","0.6","4.1","22.3","0.2","0.1","18.8"
"Tez Johnson","TB","6.7","77.6","0.6","4.4","23.3","0.2","0.1","18.1"
"Jimmy Horn Jr.","CAR","6.6","76.6","0.4","6.2","36.8","0.2","0.1","18.1"
"Mitch Tinsley","CIN","6.6","84.1","0.8","0.0","0.0","0.0","0.1","16.2"
"Jalen Royals","KC","6.8","78.0","0.6","0.0","0.0","0.0","0.1","14.8"
"Anthony Gould","IND","7.0","74.5","0.3","0.0","0.0","0.0","0.1","12.8"
"Malik Benson","LV","6.4","79.3","0.3","0.0","0.0","0.0","0.1","12.5"
"Greg Dortch","DET","4.1","39.8","0.3","4.6","24.0","0.4","0.1","12.1"
"Bo Melton","GB","2.9","37.5","0.3","4.5","26.0","0.1","0.1","10.0"
"Ben Skowronek","PIT","5.4","51.0","0.2","0.0","0.0","0.0","0.0","9.0"
"Tyrell Shavers","BUF","4.0","52.2","0.3","0.0","0.0","0.0","0.0","9.0"
"Derius Davis","LAC","3.5","37.9","0.3","2.1","11.0","0.1","0.1","8.5"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","43.8","0.2","0.1","8.3"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","8.1"
"Isaiah Williams","NYJ","3.8","35.8","0.1","2.2","12.7","0.1","0.1","8.1"
"Colbie Young","CIN","3.5","43.2","0.3","0.0","0.0","0.0","0.0","8.0"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","7.9"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","7.0"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","6.9"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","6.9"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"Barion Brown","NO","3.3","39.9","0.2","0.0","0.0","0.0","0.0","6.7"
"Laquon Treadwell","IND","3.5","36.9","0.2","0.0","0.0","0.0","0.0","6.5"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","6.4"
"Brycen Tremayne","CAR","3.3","36.5","0.2","0.0","0.0","0.0","0.0","6.3"
"Kaden Wetjen","PIT","1.6","18.8","0.1","2.1","11.7","0.1","0.0","4.8"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.4"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"JuJu Smith-Schuster","NYG","0.7","6.4","0.0","0.0","0.0","0.0","0.0","1.2"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
