PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Khalil Herbert,NYJ,—,—,—,—,0,—,—,—,BYE,—,—,—,—,0,1,—,1,2,0.5
Clyde Edwards-Helaire,KC,—,—,—,—,—,—,—,—,0,BYE,—,2,—,—,—,—,—,2,1.0
Dameon Pierce,HOU,1,—,—,—,0,BYE,—,0,—,0,—,—,—,—,—,—,—,1,0.3
Reggie Gilliam,BUF,0,0,0,0,0,0,BYE,0,0,0,0,1,0,0,0,0,0,1,0.1
Cam Akers,SEA,—,—,1,—,0,—,—,BYE,—,—,—,—,—,—,—,—,0,1,0.3
C.J. Ham,MIN,—,—,—,—,0,BYE,1,—,—,0,0,0,0,0,0,0,0,1,0.1
DeeJay Dallas,JAC,—,—,—,—,0,0,—,BYE,—,—,—,—,—,—,—,0,1,1,0.3
Jaydon Blue,DAL,—,—,—,—,0,0,1,0,—,BYE,—,—,—,—,—,—,—,1,0.3
Patrick Ricard,BAL,—,—,—,—,—,0,BYE,0,0,0,0,0,0,1,0,0,0,1,0.1
Terrell Jennings,NE,—,—,—,—,—,—,0,0,1,0,—,0,0,BYE,—,—,—,1,0.2
Brittain Brown,CHI,—,—,—,—,BYE,—,—,—,1,—,—,—,—,—,0,—,—,1,0.5
Amar Johnson,LAC,—,—,—,—,—,—,—,—,—,—,1,BYE,—,—,—,—,—,1,1.0
Elijah Mitchell,KC,—,—,—,—,—,—,—,—,—,BYE,1,—,—,—,—,—,—,1,1.0
Evan Hull,NO,—,—,—,—,—,—,—,—,—,—,BYE,—,0,1,0,0,0,1,0.2
Ulysses Bentley IV,IND,0,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,0.0
Kene Nwangwu,NYJ,0,—,—,—,—,0,0,—,BYE,0,0,0,—,0,—,0,0,0,0.0
Isaac Guerendo,SF,0,0,0,—,0,—,0,—,0,—,0,—,0,BYE,—,—,—,0,0.0
Craig Reynolds,DET,0,0,—,0,0,0,—,BYE,—,0,—,—,—,—,—,—,—,0,0.0
Jacob Saylors,DET,0,0,0,0,0,—,0,BYE,0,—,0,0,—,0,—,0,—,0,0.0
Ty Chandler,MIN,0,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,0,0,0.0
Jeff Wilson Jr.,MIA,0,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0.0
Jakob Johnson,HOU,0,0,0,—,—,BYE,—,—,—,—,0,0,0,0,—,—,—,0,0.0
Jordan Mims,TEN,—,0,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,0,0.0
