"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"196","D.J. Johnson (CAR)","2","0","0","0","0","0","0","0","0","4","3.0","0.8","1.1%"
"196","Karene Reid (DEN)","2","0","0","0","0","0","0","0","0","5","3.0","0.6","0.7%"
"199","Garret Wallow (SF)","1","1","0","0","0","0","0","0","0","7","2.3","0.3","0.8%"
"199","Micah McFadden (NYG)","1","1","0","0","0","0","0","0","0","1","2.3","2.3","8.2%"
"199","Jay Higgins IV (BAL)","0","3","0","0","0","0","0","0","0","7","2.3","0.3","1.1%"
"199","Kyle Kennard (LAC)","1","1","0","0","0","0","0","0","0","5","2.3","0.5","4.4%"
"199","Kobe King (NYJ)","1","1","0","0","0","0","0","0","0","10","2.3","0.2","0.7%"
"204","Swayze Bozeman (NYG)","0","2","0","0","0","0","0","0","0","4","1.6","0.4","1.0%"
"205","Nick Bellore (WAS)","0","2","0","0","0","0","0","0","0","8","1.5","0.2","3.7%"
"205","Sam Franklin Jr. (BUF)","1","0","0","0","0","0","0","0","0","12","1.5","0.1","0.7%"
"205","Cameron McGrone (CLE)","1","0","0","0","0","0","0","0","0","4","1.5","0.4","0.7%"
"205","Channing Tindall (ARI)","1","0","0","0","0","0","0","0","0","4","1.5","0.4","1.9%"
"205","Jaylan Ford (NO)","0","2","0","0","0","0","0","0","0","9","1.5","0.2","0.7%"
"205","Branson Combs (JAC)","1","0","0","0","0","0","0","0","0","8","1.5","0.2","1.0%"
"205","Easton Mascarenas-Arnold (CLE)","1","0","0","0","0","0","0","0","0","10","1.5","0.2","0.9%"
"212","Nick Jackson (TB)","0","1","0","0","0","0","0","0","0","2","0.8","0.4","1.9%"
"212","Thomas Incoom (CAR)","0","1","0","0","0","0","0","0","0","16","0.8","0.1","0.6%"
"214","Jason Pierre-Paul (TB)","0","0","0","0","1","0","0","0","0","3","0.0","0.0","3.6%"
"214","Jadeveon Clowney (DAL)","24","17","8.5","12","4","0","1","2","0","13","0.0","0.0","2.8%"
"214","DeMarcus Lawrence (SEA)","24","29","6","11","1","0","3","3","2","16","0.0","0.0","19.3%"
"214","Dante Fowler Jr. (DAL)","10","5","3","4","3","0","0","0","0","17","0.0","0.0","1.5%"
"214","Danielle Hunter (HOU)","28","26","15","15","3","0","3","1","0","17","0.0","0.0","56.0%"
"214","Neville Hewitt (NYG)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.6%"
"214","Joe Cardona (MIA)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"214","Charley Hughlett (PHI)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"214","Jon Weeks (SF)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"214","Aaron Brewer (ARI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Josh Harris (LAC)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Jake McQuaide (LAR)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Jihad Ward (TEN)","15","16","5","4","4","0","0","0","0","17","0.0","0.0","1.0%"
"214","Reid Ferguson (BUF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Luke Rhodes (IND)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"214","Jamal Adams (LV)","30","14","1","4","0","0","1","0","0","17","0.0","0.0","1.9%"
"214","Haason Reddick (TB)","18","13","2.5","6","1","0","1","0","0","13","0.0","0.0","6.1%"
"214","Anthony Walker Jr. (TB)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"214","Jalen Reeves-Maybin (CHI)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","11.9%"
"214","Al-Quadin Muhammad (DET)","15","8","11","9","0","0","0","0","0","17","0.0","0.0","1.9%"
"214","Trey Hendrickson (CIN)","11","5","4","3","1","0","1","0","0","7","0.0","0.0","46.2%"
"214","Thomas Hennessy (NYJ)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"214","Arden Key (TEN)","9","13","4","6","0","0","0","0","0","12","0.0","0.0","2.5%"
"214","Ronnie Harrison Jr. (ATL)","18","9","2","2","2","0","0","0","0","10","0.0","0.0","0.9%"
"214","Josh Sweat (ARI)","20","10","12","13","2","0","4","1","0","17","0.0","0.0","19.3%"
"214","Christian Kuntz (PIT)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.6%"
"214","Scott Daly (CHI)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"214","Ogbo Okoronkwo (PHI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"214","Chris Board (NYG)","1","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"214","Josh Hines-Allen (JAC)","28","21","8","12","3","0","0","0","0","17","0.0","0.0","39.6%"
"214","Dre'Mont Jones (BAL)","19","24","7","7","1","0","0","2","0","18","0.0","0.0","4.7%"
"214","Brian Burns (NYG)","39","28","16.5","22","7","0","3","1","0","17","0.0","0.0","70.8%"
"214","Carl Granderson (NO)","35","22","6","11","4","1","0","0","0","17","0.0","0.0","30.6%"
"214","Sione Takitaki (MIN)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"214","Ty Summers (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"214","Anthony Nelson (TB)","17","15","3","3","2","1","2","0","1","15","0.0","0.0","1.4%"
"214","Quinton Bell (MIA)","0","6","0","0","0","0","0","1","0","5","0.0","0.0","0.6%"
"214","Jacob Bobenmoyer (LV)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"214","Darius Harris (NE)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"214","Nick Moore (BAL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"214","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"214","Anthony Pittman (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"214","Isaiah Simmons (CAR)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.6%"
"214","K'Lavon Chaisson (NE)","18","13","7.5","10","2","0","2","1","1","16","0.0","0.0","4.5%"
"214","Josh Uche (PHI)","12","7","1","2","1","0","0","0","0","11","0.0","0.0","4.2%"
"214","Darrell Taylor (HOU)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.6%"
"214","Jonathan Greenard (MIN)","19","19","3","10","3","0","1","0","0","12","0.0","0.0","32.6%"
"214","Trevis Gipson (CAR)","5","7","1","1","0","0","0","1","0","13","0.0","0.0","1.2%"
"214","Khalid Kareem (ATL)","3","4","0","1","1","0","0","0","0","4","0.0","0.0","1.9%"
"214","DJ Wonnum (CAR)","19","23","3","4","3","1","0","1","0","16","0.0","0.0","4.4%"
"214","Monty Rice (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"214","Bryce Huff (SF)","14","16","4","6","1","0","2","0","0","15","0.0","0.0","1.3%"
"214","Mike Danna (KC)","8","17","1","3","1","1","0","0","0","15","0.0","0.0","1.2%"
"214","Cole Christiansen (KC)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"214","Greg Rousseau (BUF)","24","22","7","6","2","0","1","0","0","16","0.0","0.0","26.2%"
"214","Kristian Welch (GB)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.2%"
"214","Ross Matiscik (JAC)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"214","Liam McCullough (ATL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Michael Hoecht (BUF)","2","3","2","1","0","0","1","0","0","2","0.0","0.0","2.2%"
"214","Rex Sunahara (CLE)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"214","Odafe Oweh (LAC)","20","18","7.5","9","0","0","0","0","0","17","0.0","0.0","12.9%"
"214","Chazz Surratt (SEA)","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.7%"
"214","Victor Dimukeje (NYG)","0","1","0","0","1","0","0","0","0","6","0.0","0.0","0.6%"
"214","Jaelan Phillips (PHI)","29","24","5","7","4","0","1","2","0","17","0.0","0.0","19.1%"
"214","Patrick Johnson (PHI)","2","1","1","1","0","0","0","0","0","9","0.0","0.0","1.0%"
"214","Jeremiah Moon (PIT)","0","1","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"214","Jonathon Cooper (DEN)","23","27","8","8","4","0","0","0","0","17","0.0","0.0","11.5%"
"214","Tarron Jackson (SF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"214","Boogie Basham Jr. (CAR)","1","3","0","0","0","0","0","0","0","3","0.0","0.0","0.6%"
"214","Chris Rumph II (NO)","19","16","2","3","1","0","1","0","0","17","0.0","0.0","0.7%"
"214","Patrick Jones II (CAR)","6","3","1","2","1","0","0","0","0","4","0.0","0.0","2.0%"
