Players RK,Players PLAYER,Receiving REC,Receiving TGT,Receiving REC PCT,Receiving YDS,Receiving Y/R,Receiving TD,Receiving TGT PCT,Rushing ATT,Rushing YDS,Rushing TD,Rushing PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
68,Terrance Ferguson   LAR,1,3,33.3%,3,3.0,1,8.1%,1,0,0,100.0%,0,13,6.3,0.5,20.0%
69,Adam Trautman   DEN,1,1,100.0%,2,2.0,1,7.7%,0,0,0,0.0%,0,18,6.2,0.3,0.6%
70,Josh Whyle   GB,1,1,100.0%,2,2.0,1,5.6%,0,0,0,0.0%,0,8,6.2,0.8,0.6%
71,David Martin-Robinson   TEN,1,1,100.0%,1,1.0,1,7.1%,0,0,0,0.0%,0,15,6.1,0.4,0.0%
72,Daniel Bellinger   TEN,4,6,66.7%,47,11.8,0,30.0%,0,0,0,0.0%,0,16,4.7,0.3,3.2%
73,Cade Stover   HOU,3,3,100.0%,19,6.3,0,21.4%,3,1,0,100.0%,0,9,2.0,0.2,0.6%
74,Anthony Firkser   DET,2,2,100.0%,18,9.0,0,13.3%,0,0,0,0.0%,0,7,1.8,0.3,0.0%
75,Luke Schoonmaker   DAL,1,2,50.0%,14,14.0,0,7.4%,0,0,0,0.0%,0,17,1.4,0.1,0.9%
76,Eric Saubert   SEA,1,2,50.0%,12,12.0,0,9.5%,0,0,0,0.0%,0,12,1.2,0.1,0.9%
77,Foster Moreau   HOU,1,1,100.0%,10,10.0,0,10.0%,0,0,0,0.0%,0,11,1.0,0.1,0.7%
78,Cade Otton   TB,2,4,50.0%,10,5.0,0,80.0%,0,0,0,0.0%,0,16,1.0,0.1,23.4%
79,Julian Hill   NE,1,3,33.3%,10,10.0,0,15.8%,0,0,0,0.0%,0,14,1.0,0.1,0.6%
80,Elijah Arroyo   SEA,2,5,40.0%,9,4.5,0,23.8%,0,0,0,0.0%,0,13,0.9,0.1,5.3%
81,Charlie Woerner   ATL,1,1,100.0%,8,8.0,0,9.1%,0,0,0,0.0%,0,17,0.8,0.0,0.0%
82,Ross Dwelley   FA,1,3,33.3%,4,4.0,0,20.0%,0,0,0,0.0%,0,10,0.4,0.0,0.0%
83,Grant Calcaterra   PHI,1,1,100.0%,3,3.0,0,6.3%,0,0,0,0.0%,0,16,0.3,0.0,0.7%
84,Will Dissly   FA,1,1,100.0%,1,1.0,0,6.3%,0,0,0,0.0%,0,10,0.1,0.0,1.0%
85,Noah Gray   KC,1,2,50.0%,1,1.0,0,14.3%,0,0,0,0.0%,0,16,0.1,0.0,3.9%
86,Tanner Conner   NYG,1,3,33.3%,1,1.0,0,15.8%,0,0,0,0.0%,0,9,0.1,0.0,1.1%
87,Johnny Mundt   PHI,0,1,0.0%,0,0.0,0,6.7%,0,0,0,0.0%,0,17,0.0,0.0,0.1%
88,Pharaoh Brown   FA,1,1,100.0%,0,0.0,0,2.6%,0,0,0,0.0%,0,7,0.0,0.0,0.0%
89,Albert Okwuegbunam Jr.   LV,0,1,0.0%,0,0.0,0,4.3%,0,0,0,0.0%,0,1,0.0,0.0,0.0%
90,Giovanni Ricci   FA,0,1,0.0%,0,0.0,0,6.7%,0,0,0,0.0%,0,3,0.0,0.0,0.0%
91,Quintin Morris   JAC,0,1,0.0%,0,0.0,0,6.7%,0,0,0,0.0%,0,14,0.0,0.0,1.4%
92,John Bates   WAS,0,1,0.0%,0,0.0,0,10.0%,0,0,0,0.0%,0,15,0.0,0.0,0.7%
93,Shane Zylstra   BUF,0,1,0.0%,0,0.0,0,6.7%,0,0,0,0.0%,0,5,0.0,0.0,1.1%
94,Jelani Woods   NYJ,0,1,0.0%,0,0.0,0,7.7%,0,0,0,0.0%,0,6,0.0,0.0,3.9%
95,Zaire Mitchell-Paden   NO,0,1,0.0%,0,0.0,0,3.8%,0,0,0,0.0%,0,8,0.0,0.0,1.0%
96,Luke Musgrave   GB,0,1,0.0%,0,0.0,0,5.6%,0,0,0,0.0%,0,17,0.0,0.0,7.0%
97,Brenden Bates   CLE,0,1,0.0%,0,0.0,0,4.8%,0,0,0,0.0%,0,9,0.0,0.0,0.0%
98,Nick Kallerup   SEA,0,1,0.0%,0,0.0,0,4.8%,0,0,0,0.0%,0,11,0.0,0.0,1.0%
99,Elijah Higgins   ARI,2,5,40.0%,17,8.5,0,12.8%,0,0,0,0.0%,1,17,-0.3,0.0,0.8%
