PLAYER,POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
JuJu Smith-Schuster,WR,KC,5,3,4,6,3,3,3,2,1,BYE,0,2,1,2,1,4,3,43,2.7
DeMario Douglas,WR,NE,7,1,5,0,3,4,3,1,6,2,3,1,3,BYE,0,2,2,43,2.7
Rachaad White,RB,TB,1,2,1,5,4,3,6,2,BYE,5,3,1,3,2,1,2,2,43,2.7
Tez Johnson,WR,TB,1,—,1,1,4,3,9,6,BYE,5,3,4,2,0,1,1,2,43,2.9
Darnell Washington,TE,PIT,0,1,0,3,BYE,5,5,0,6,1,5,2,4,1,4,4,2,43,2.7
Tyjae Spears,RB,TEN,—,—,—,—,0,4,4,3,3,BYE,5,5,6,4,2,5,2,43,3.6
Isaiah Bond,WR,CLE,1,3,4,6,7,5,0,4,BYE,—,1,2,2,2,4,0,1,42,2.8
TreVeyon Henderson,RB,NE,6,2,3,2,3,2,0,0,6,1,5,4,4,BYE,3,1,0,42,2.6
Kayshon Boutte,WR,NE,8,1,3,3,3,5,2,5,1,—,—,2,5,BYE,1,3,—,42,3.2
Michael Carter,RB,ARI,—,—,—,0,5,5,2,BYE,—,0,7,3,6,4,4,2,4,42,3.5
Matthew Golden,WR,GB,2,2,4,6,BYE,5,4,3,3,—,3,—,—,1,4,1,3,41,3.2
Aaron Jones Sr.,RB,MIN,3,1,—,—,—,BYE,—,4,2,6,6,4,4,1,3,3,4,41,3.4
Noah Fant,TE,CIN,5,4,5,—,0,4,4,3,3,BYE,6,1,2,2,0,—,1,40,2.9
Mike Gesicki,TE,CIN,3,4,3,1,5,0,—,—,—,BYE,—,6,4,6,2,4,2,40,3.3
Jaylen Warren,RB,PIT,2,4,6,—,BYE,2,5,3,2,2,2,0,4,3,3,2,0,40,2.7
James Cook III,RB,BUF,5,1,3,4,1,0,BYE,0,1,5,3,3,3,2,3,2,4,40,2.5
Alvin Kamara,RB,NO,2,6,2,5,6,5,3,2,3,3,BYE,2,—,—,—,—,—,39,3.5
Devaughn Vele,WR,NO,2,1,—,0,2,0,0,5,0,3,BYE,7,8,5,6,—,—,39,3.0
Tyrone Tracy Jr.,RB,NYG,5,5,3,—,—,0,0,3,4,2,4,4,1,BYE,4,2,2,39,2.8
Tony Pollard,RB,TEN,1,1,4,3,3,2,6,2,2,BYE,3,5,2,0,2,0,2,38,2.4
Rashod Bateman,WR,BAL,4,4,7,2,3,1,BYE,4,4,2,—,—,1,3,—,2,1,38,2.9
KaVontae Turpin,WR,DAL,2,4,3,4,—,—,1,5,3,BYE,2,2,2,2,2,4,1,37,2.6
Tre' Harris,WR,LAC,1,3,1,1,0,5,2,2,2,2,1,BYE,4,2,5,5,1,37,2.3
Tyquan Thornton,WR,KC,4,5,9,2,5,0,2,0,1,BYE,2,1,0,3,3,—,—,37,2.6
Dylan Sampson,RB,CLE,8,3,0,1,2,2,1,6,BYE,1,1,3,0,6,—,—,3,37,2.6
Cedric Tillman,WR,CLE,8,7,3,2,—,—,—,—,BYE,4,4,3,1,3,0,1,1,37,3.1
Chuba Hubbard,RB,CAR,5,6,3,3,—,—,3,1,1,1,3,4,2,BYE,1,1,3,37,2.6
DeAndre Hopkins,WR,BAL,2,2,2,1,2,4,BYE,1,1,4,4,3,3,1,1,5,1,37,2.3
Brandin Cooks,WR,BUF,4,2,5,4,1,1,1,4,3,0,—,—,1,0,3,1,6,36,2.4
Dyami Brown,WR,JAC,4,7,3,—,4,5,4,BYE,7,1,1,0,—,0,0,0,0,36,2.6
Calvin Ridley,WR,TEN,8,6,7,3,10,1,—,—,—,BYE,1,—,—,—,—,—,—,36,5.1
Quinshon Judkins,RB,CLE,—,3,2,4,2,1,0,3,BYE,3,2,0,3,3,4,6,—,36,2.6
Jalen Coker,WR,CAR,—,—,—,—,—,—,2,4,1,4,4,4,6,BYE,4,5,2,36,3.6
Omarion Hampton,RB,LAC,2,2,7,5,6,—,—,—,—,—,—,BYE,—,2,1,2,8,35,3.9
Rhamondre Stevenson,RB,NE,3,5,3,1,2,1,2,2,—,—,—,2,3,BYE,3,3,5,35,2.7
Malik Nabers,WR,NYG,12,13,7,3,—,—,—,—,—,—,—,—,—,BYE,—,—,—,35,8.8
David Sills V,WR,ATL,0,0,2,0,BYE,0,0,3,1,1,2,3,4,4,10,1,4,35,2.2
Elijah Higgins,TE,ARI,2,3,1,0,2,2,1,BYE,3,3,3,0,2,1,2,8,1,34,2.1
Ja'Tavion Sanders,TE,CAR,3,9,2,—,—,—,2,3,1,5,4,1,0,BYE,2,2,0,34,2.6
Jaylin Noel,WR,HOU,2,0,1,1,3,BYE,7,6,0,4,1,2,1,2,0,0,4,34,2.1
Joshua Palmer,WR,BUF,9,3,1,3,2,2,BYE,—,—,—,5,4,—,—,2,1,2,34,3.1
Darren Waller,TE,MIA,—,—,—,4,5,3,0,—,—,—,—,BYE,3,3,8,5,3,34,3.8
Isaiah Likely,TE,BAL,—,—,—,0,1,2,BYE,2,4,4,3,3,6,6,0,0,3,34,2.6
Jalen Tolbert,WR,DAL,2,4,6,6,1,1,2,2,0,BYE,1,—,0,—,—,—,8,33,2.8
Greg Dortch,WR,ARI,1,1,2,5,2,3,2,BYE,0,0,6,9,2,—,—,—,—,33,2.8
Bucky Irving,RB,TB,4,6,4,5,—,—,—,—,BYE,—,—,—,2,3,3,0,6,33,3.7
Tommy Tremble,TE,CAR,1,3,2,8,2,4,1,1,1,0,2,0,2,BYE,4,1,1,33,2.1
Woody Marks,RB,HOU,0,1,2,5,1,BYE,5,4,3,3,1,1,1,3,1,—,2,33,2.2
Noah Gray,TE,KC,1,5,6,1,0,2,1,4,1,BYE,3,4,—,3,0,0,1,32,2.1
Jerome Ford,RB,CLE,1,6,4,2,2,6,2,2,BYE,1,0,0,3,3,—,—,—,32,2.5
Jaylin Lane,WR,WAS,2,4,2,3,2,2,6,2,5,1,1,BYE,1,0,1,0,—,32,2.1
Cam Skattebo,RB,NYG,2,3,8,2,7,2,6,2,—,—,—,—,—,BYE,—,—,—,32,4.0
Kenneth Walker III,RB,SEA,3,1,1,2,1,1,0,BYE,2,1,3,4,4,3,1,3,2,32,2.0
Davis Allen,TE,LAR,2,1,1,1,2,2,1,BYE,4,2,0,4,1,2,4,5,0,32,2.0
Brashard Smith,RB,KC,0,1,1,4,3,4,5,0,1,BYE,3,4,0,0,0,1,4,31,1.9
Luke Musgrave,TE,GB,1,2,0,1,BYE,2,0,1,3,3,2,2,1,4,6,3,0,31,1.9
Ty Johnson,RB,BUF,2,1,2,0,0,2,BYE,0,2,2,2,3,5,3,3,0,4,31,1.9
Bam Knight,RB,ARI,—,0,—,0,1,2,4,BYE,2,4,4,5,3,6,0,—,—,31,2.6
Demarcus Robinson,WR,SF,—,—,—,2,7,3,1,3,1,4,2,1,1,BYE,2,2,2,31,2.4
Jeremy McNichols,RB,WAS,0,0,0,2,2,4,3,6,0,1,2,BYE,2,1,1,3,3,30,1.9
Tyler Higbee,TE,LAR,0,4,2,5,—,4,6,BYE,4,3,2,—,—,—,—,—,—,30,3.3
Tyreek Hill,WR,MIA,6,7,10,6,—,—,—,—,—,—,—,BYE,—,—,—,—,—,29,7.3
Dont'e Thornton Jr.,WR,LV,4,4,4,2,2,0,3,BYE,—,2,0,2,2,—,0,0,4,29,2.1
Jeremy Ruckert,TE,NYJ,2,1,0,1,4,0,1,1,BYE,1,5,0,2,3,2,3,3,29,1.8
Tyler Badie,RB,DEN,6,2,0,2,2,—,2,0,3,1,1,BYE,5,1,1,3,0,29,1.9
Kyle Monangai,RB,CHI,1,3,1,0,BYE,1,3,0,5,1,1,0,1,2,2,4,4,29,1.8
Adam Thielen,WR,PIT,1,3,2,2,0,—,2,2,0,3,2,1,—,1,1,4,5,29,1.9
Isaiah Williams,WR,NYJ,—,0,0,0,—,0,0,4,BYE,1,4,0,1,3,7,4,5,29,2.1
Greg Dulcich,TE,MIA,—,—,—,—,—,—,—,0,5,4,4,BYE,2,3,2,3,6,29,3.2
Jahan Dotson,WR,PHI,3,1,3,0,3,2,0,2,BYE,1,2,1,3,3,0,3,1,28,1.8
Isaiah Davis,RB,NYJ,0,3,0,2,4,1,4,5,BYE,1,1,0,1,0,1,4,1,28,1.8
David Montgomery,RB,DET,4,1,1,1,1,2,3,BYE,4,1,1,3,2,1,1,0,2,28,1.8
Jack Bech,WR,LV,1,0,1,0,5,1,2,BYE,0,1,1,0,3,6,3,3,—,27,1.8
Kalif Raymond,WR,DET,3,1,2,3,0,0,3,BYE,1,4,0,2,—,—,1,5,2,27,1.9
Justice Hill,RB,BAL,2,3,4,6,2,6,BYE,0,2,2,—,0,—,—,—,—,—,27,2.7
Isiah Pacheco,RB,KC,3,2,1,3,3,3,2,0,—,BYE,—,—,2,0,0,7,0,26,2.0
Hunter Renfrow,WR,CAR,6,9,4,2,3,2,—,—,—,—,—,—,—,BYE,—,—,—,26,4.3
Elijah Arroyo,TE,SEA,1,3,1,4,1,2,5,BYE,2,1,2,1,2,1,—,—,—,26,2.0
Kyle Juszczyk,RB,SF,2,1,1,3,4,1,1,2,2,2,2,0,2,BYE,1,0,2,26,1.6
Isaac TeSlaa,WR,DET,1,1,2,0,1,0,1,BYE,0,1,1,1,2,3,1,7,4,26,1.6
Austin Hooper,TE,NE,1,3,3,1,0,1,2,2,1,1,—,4,0,BYE,0,4,2,25,1.7
Jordan Whittington,WR,LAR,0,2,3,1,3,4,4,BYE,0,0,1,3,1,1,1,1,0,25,1.6
Terrance Ferguson,TE,LAR,—,0,—,—,1,0,3,BYE,3,4,0,1,2,1,2,4,4,25,1.9
