PLAYER,POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Ty Chandler,RB,MIN,0,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,0,0,0.0
Teagan Quitoriano,TE,ATL,0,0,0,0,BYE,0,—,0,—,0,0,0,0,0,0,0,0,0,0.0
Jeff Wilson Jr.,RB,MIA,0,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0.0
Travis Vokolek,TE,ARI,0,0,—,—,0,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Robbie Ouzts,TE,SEA,0,0,0,—,—,—,—,BYE,0,0,0,0,0,0,—,0,0,0,0.0
Jakob Johnson,RB,HOU,0,0,0,—,—,BYE,—,—,—,—,0,0,0,0,—,—,—,0,0.0
Jeremiah Webb,WR,NE,0,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Jordan Mims,RB,TEN,—,0,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,0,0.0
Roschon Johnson,RB,CHI,—,0,0,0,BYE,0,0,—,—,—,0,—,—,—,—,—,—,0,0.0
James Winchester,TE,KC,—,0,0,—,—,—,—,—,—,BYE,—,—,—,—,—,0,—,0,0.0
Dominic Lovett,WR,DET,—,0,0,0,0,0,—,BYE,—,0,0,—,—,0,—,—,—,0,0.0
Cameron Latu,TE,PHI,—,0,0,0,0,0,0,0,BYE,0,0,0,0,0,0,—,0,0,0.0
Nathan Carter,RB,ATL,—,0,0,—,BYE,—,—,0,—,—,—,—,—,—,—,—,—,0,0.0
Dalevon Campbell,WR,CAR,—,—,0,0,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Kaden Davis,WR,CLE,—,—,0,—,—,—,—,—,BYE,—,0,—,—,—,—,—,—,0,0.0
Jacardia Wright,RB,SEA,—,—,0,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Simi Fehoko,WR,ARI,—,—,0,0,0,0,0,BYE,0,0,—,—,—,—,—,—,—,0,0.0
Sione Vaki,RB,DET,—,—,0,—,—,—,—,BYE,0,0,—,—,0,0,0,—,0,0,0.0
Treyton Welch,TE,NO,—,—,0,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0,0.0
Xazavian Valladay,RB,MIN,—,—,0,—,—,BYE,—,—,—,—,—,—,—,—,—,—,—,0,0.0
Jalen Moreno-Cropper,WR,DAL,—,—,0,0,0,0,—,—,—,BYE,—,—,—,—,—,—,—,0,0.0
Sincere McCormick,RB,SF,—,—,0,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Jordan James,RB,SF,—,—,0,—,—,—,—,—,—,—,—,—,—,BYE,—,0,—,0,0.0
Trey Sermon,RB,PIT,—,—,—,0,BYE,—,—,—,0,0,—,—,—,—,—,—,—,0,0.0
Jalen Royals,WR,KC,—,—,—,0,0,0,0,—,—,BYE,—,—,—,—,—,0,0,0,0.0
Nick Vannett,TE,LAR,—,—,—,0,—,—,—,BYE,0,—,—,—,—,0,—,—,—,0,0.0
Jackson Meeks,WR,DET,—,—,—,0,—,—,—,BYE,—,—,0,—,—,—,—,—,—,0,0.0
British Brooks,RB,HOU,—,—,—,0,0,BYE,0,0,0,0,—,0,0,0,0,0,0,0,0.0
Stephen Carlson,TE,CHI,—,—,—,0,BYE,—,—,0,—,—,—,—,—,—,—,—,—,0,0.0
Kenny Yeboah,TE,DET,—,—,—,0,—,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Avery Williams,RB,NYJ,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,—,—,—,0,0.0
Josh Williams,RB,TB,—,—,—,—,0,—,—,0,BYE,—,—,—,—,—,—,—,—,0,0.0
Jacob Cowing,WR,SF,—,—,—,—,0,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Parris Campbell,WR,DAL,—,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,—,—,0,0.0
Nyheim Miller-Hines,RB,LAC,—,—,—,—,—,0,0,0,—,—,—,BYE,—,—,—,—,—,0,0.0
Owen Wright,RB,TB,—,—,—,—,—,0,—,—,BYE,—,0,0,—,—,—,—,—,0,0.0
Lew Nichols III,RB,PIT,—,—,—,—,BYE,0,—,—,0,—,—,—,—,—,—,—,—,0,0.0
Ja'Corey Brooks,WR,WAS,—,—,—,—,—,0,—,—,—,—,—,BYE,—,—,—,—,—,0,0.0
Travis Homer,RB,CHI,—,—,—,—,BYE,—,0,0,0,—,0,—,0,0,—,—,0,0,0.0
Laquon Treadwell,WR,IND,—,—,—,—,—,—,0,—,—,0,BYE,0,0,0,0,0,0,0,0.0
D'Ernest Johnson,RB,NE,—,—,—,—,—,—,0,—,—,0,0,—,—,BYE,—,0,0,0,0.0
Thomas Fidone II,TE,NYG,—,—,—,—,—,—,0,—,0,—,—,—,—,BYE,—,—,—,0,0.0
E.J. Jenkins,TE,PHI,—,—,—,—,—,—,0,—,BYE,—,—,—,—,—,—,0,—,0,0.0
Ronnie Rivers,RB,LAR,—,—,—,—,—,—,0,BYE,—,—,—,—,0,0,0,0,0,0,0.0
Quinton Bell,WR,MIA,—,—,—,—,—,—,0,—,—,0,—,BYE,—,—,—,0,0,0,0.0
Cade McDonald,WR,CLE,—,—,—,—,—,—,0,—,BYE,—,—,—,—,—,—,—,—,0,0.0
Eric Gray,RB,NYG,—,—,—,—,—,—,0,—,—,—,—,0,—,BYE,—,—,0,0,0.0
Kye Robichaux,RB,DET,—,—,—,—,—,—,0,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Jaret Patterson,RB,LAC,—,—,—,—,—,—,—,0,0,0,—,BYE,0,—,—,—,0,0,0.0
Hayden Rucci,TE,MIA,—,—,—,—,—,—,—,0,0,0,0,BYE,—,—,—,—,—,0,0.0
Brandon Smith,WR,NYJ,—,—,—,—,—,—,—,0,BYE,—,—,—,—,—,—,—,—,0,0.0
Michael Burton,RB,DEN,—,—,—,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,0,0.0
Raheem Blackshear,RB,PIT,—,—,—,—,BYE,—,—,0,—,—,—,—,—,—,—,—,—,0,0.0
Princeton Fant,TE,DAL,—,—,—,—,—,—,—,—,0,BYE,—,—,—,—,—,—,—,0,0.0
Marcedes Lewis,TE,DEN,—,—,—,—,—,—,—,—,0,0,0,BYE,—,0,—,—,0,0,0.0
Ricky White III,WR,SEA,—,—,—,—,—,—,—,BYE,0,0,—,—,—,—,—,—,—,0,0.0
Dan Chisena,WR,CAR,—,—,—,—,—,—,—,—,—,0,—,—,—,BYE,—,—,—,0,0.0
Chase Edmonds,RB,WAS,—,—,—,—,—,—,—,—,—,—,0,BYE,—,—,0,—,0,0,0.0
Dalen Cambre,WR,NYG,—,—,—,—,—,—,—,—,—,—,0,0,0,BYE,0,—,0,0,0.0
Kendall Milton,RB,CIN,—,—,—,—,—,—,—,—,—,BYE,0,—,—,—,—,—,—,0,0.0
Nikola Kalinic,TE,CHI,—,—,—,—,BYE,—,—,—,—,—,—,0,—,—,—,—,—,0,0.0
Kalel Mullings,RB,TEN,—,—,—,—,—,—,—,—,—,BYE,—,0,0,—,0,0,0,0,0.0
Gary Brightwell,RB,CIN,—,—,—,—,—,—,—,—,—,BYE,—,0,0,—,—,—,—,0,0.0
Deion Hankins,RB,CHI,—,—,—,—,BYE,—,—,—,—,—,—,0,—,—,—,—,—,0,0.0
Chris Collier,RB,LV,—,—,—,—,—,—,—,BYE,—,—,—,0,—,—,—,—,—,0,0.0
Britain Covey,WR,PHI,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0,0,0,0,0,0.0
Myles Gaskin,RB,SEA,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,—,—,0,0.0
Zach Horton,TE,DET,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,—,—,0,0.0
Keilan Robinson,RB,NYJ,—,—,—,—,—,—,—,—,BYE,—,—,—,0,—,—,—,—,0,0.0
Jashaun Corbin,RB,NE,—,—,—,—,—,—,—,—,—,—,—,—,0,BYE,—,—,—,0,0.0
DJ Turner,WR,LV,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,—,—,—,0,0.0
Alexander Mattison,RB,MIA,—,—,—,—,—,—,—,—,—,—,—,BYE,—,0,0,—,—,0,0.0
Corey Kiner,RB,ARI,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,0,0,0,0.0
Chris Blair,WR,ATL,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0,0,0,0.0
Jordan Moore,WR,CIN,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,0,0.0
Chandler Brayboy,WR,JAC,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,—,—,0,0.0
Kristian Wilkerson,WR,TEN,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,0,0.0
Lawrence Cager,WR,WAS,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,—,0,0.0
Maurice Alexander,WR,CHI,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,0,—,0,0.0
Keaontay Ingram,RB,KC,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,—,0,0.0
Bryson Green,WR,ARI,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,0,—,0,0.0
River Cracraft,WR,WAS,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,0,0,0.0
Ronnie Bell,WR,NO,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0,0.0
Drake Dabney,TE,GB,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,—,0,0,0.0
CJ Dippre,TE,NE,—,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,0,0,0.0
Zach Davidson,TE,NYG,—,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,0,0,0.0
