,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T623,Kendall Fuller,FA,CB,-,-,172.33,-,-,-,-,-,-,,,,
T623,Travon Fuller,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kristian Fulton,KC,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Tyrek Funderburk,CAR,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Don Gardner,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Sauce Gardner,IND,CB,-,-,172.91,-,-,-,-,665.70,-,,,Ques,Calf
T623,Mekhi Garner,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Eric Garror,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Allan George,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kenneth George,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Zyon Gilbert,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Steven Gilmore,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Christian Gonzalez,NE,CB,-,-,144.35,-,-,-,-,455.60,-,,0.40,,
T623,Mario Goodrich,TEN,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kyler Gordon,CHI,CB,-,-,173.70,-,-,-,-,-,-,,,PUP-P,Calf
T623,Thomas Graham,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nick Grant,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,A.J. Green,MIA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Art Green,NYG,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Renardo Green,SF,CB,-,-,172.80,-,-,-,-,-,-,,,,
T623,Shaquill Griffin,FA,CB,-,-,171.64,-,-,-,-,-,-,,,,
T623,Jaylon Guilbeau,FA,CB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Kamal Hadden,GB,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Devin Hafford,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Maxwell Hairston,BUF,CB,-,-,171.01,-,-,-,-,590.50,-,,,,
T623,Bryce Hall,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Darren Hall,ATL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kemon Hall,TB,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Stephen Hall,HOU,CB,-,-,-,-,-,-,-,-,-,,,,
T623,TJ Hall,NO,CB,-,-,169.93,-,-,-,-,-,-,,,,
T623,Tyler Hall,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Al'zillion Hamilton,LAR,CB,-,-,-,-,-,-,-,-,-,,,PUP-P,Undisclosed
T623,Antonio Hamilton,WAS,CB,-,-,171.65,-,-,-,-,-,-,,,,
T623,Elijah Hamilton,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Matt Hankins,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Justin Hardee,FA,CB,-,-,173.93,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Myles Harden,CLE,CB,-,-,169.86,-,-,-,-,-,-,,,,
T623,Daequan Hardy,PIT,CB,-,-,170.00,-,-,-,-,-,-,,,IR,Undisclosed
T623,Marcus Harris,TEN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Cam Hart,LAC,CB,-,-,169.92,-,-,-,-,-,-,,,,
T623,Ahmari Harvey,PIT,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Tre Hawkins,WAS,CB,-,-,170.00,-,-,-,-,-,-,,,IR,Undisclosed
T623,Josh Hayes,TB,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Amari Henderson,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,C.J. Henderson,ATL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Tre Herndon,FA,CB,-,-,171.91,-,-,-,-,-,-,,,,
T623,Tyron Herring,CLE,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Faion Hicks,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Dax Hill,CIN,CB,-,-,177.76,-,-,-,-,637.30,-,,0.40,,
T623,Nijuel Hill,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Troy Hill,FA,CB,-,-,173.49,-,-,-,-,-,-,,,,
T623,Mike Hilton,FA,CB,-,-,173.99,-,-,-,-,-,-,,,Ques,Shoulder
T623,Nate Hobbs,SF,CB,-,-,171.04,-,-,-,-,-,-,,,,
T623,Preston Hodge,JAX,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Ka'dar Hollman,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Darnay Holmes,ATL,CB,-,-,170.99,-,-,-,-,-,-,,,,
T623,Colton Hood,NYG,CB,-,-,170.64,83.56,-,-,-,521.50,-,,,,
T623,Delonte Hood,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaycee Horn,CAR,CB,-,-,169.80,-,-,-,-,664.00,-,,,,
T623,Xavien Howard,FA,CB,-,-,173.78,-,-,-,-,-,-,,,,
T623,Mike Hughes,ATL,CB,-,-,170.37,-,-,-,-,-,-,,,,
T623,Marlon Humphrey,BAL,CB,-,-,177.53,-,-,-,-,478.00,-,2.89,0.40,,
T623,Alijah Huzzie,HOU,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Noah Igbinoghene,SEA,CB,-,-,170.68,-,-,-,-,-,-,,,,
T623,Davison Igbinosun,BUF,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Ja'Marcus Ingram,HOU,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Keenan Isaac,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,DJ Ivey,CIN,CB,-,-,169.65,-,-,-,-,-,-,,,,
T623,Adoree' Jackson,FA,CB,-,-,171.76,-,-,-,-,-,-,,,,
T623,Dane Jackson,JAX,CB,-,-,170.00,-,-,-,-,-,-,,,Reserve-Ret,Personal
T623,Domani Jackson,GB,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Donte Jackson,LAC,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Lamar Jackson,FA,CB,-,-,169.09,-,-,-,-,-,-,,,,
T623,Mike Jackson,CAR,CB,-,-,175.18,-,-,-,-,647.20,-,2.12,0.20,,
T623,DJ James,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,D'Shawn Jamison,PIT,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Shemar Jean-Charles,SEA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Josh Jobe,SEA,CB,-,-,172.26,-,-,-,-,-,-,,,,
T623,Alex Johnson,LAR,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Brandon Johnson,SEA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Chris Johnson,MIA,CB,-,-,170.34,65.20,-,-,-,491.40,-,,,,
T623,Isaiah Johnson,FA,CB,-,-,-,-,-,-,-,-,-,,,Ques,Knee - ACL
T623,Jaylon Johnson,CHI,CB,-,-,170.05,-,-,-,-,-,-,,,,
T623,Leonard Johnson,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Nazeeh Johnson,TEN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Taron Johnson,LV,CB,-,-,173.33,-,-,-,-,-,-,,,,
T623,Will Johnson,ARI,CB,-,-,172.01,-,-,-,-,-,-,,,,
T623,Shaun Jolly,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Chris Jones,FA,CB,-,-,171.39,-,-,-,-,-,-,,,,
T623,DaShawn Jones,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Devin Jones,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Dom Jones,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,Elijah Jones,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Elijah Jones,ARI,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jack Jones,SF,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jarrian Jones,JAX,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jaylon Jones,CHI,CB,-,-,171.21,-,-,-,-,-,-,,,,
T623,Jaylon Jones,IND,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jonathan Jones,PHI,CB,-,-,174.71,-,-,-,-,-,-,,,,
T623,Marcus Jones,NE,CB,-,-,173.16,-,-,-,-,472.90,-,,,,
T623,Marlon Jones,GB,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Nic Jones,NYG,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kelvin Joseph,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kyu Blu Kelly,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,Anthony Kendall,CLE,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Derion Kendrick,DAL,CB,-,-,170.93,-,-,-,-,-,-,,,,
T623,Donte Kent,PIT,CB,-,-,170.00,-,-,-,-,-,-,,,PUP-P,Undisclosed
T623,Jalen Kimber,CIN,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Desmond King,FA,CB,-,-,174.21,-,-,-,-,-,-,,,,
T623,Kalen King,ARI,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kevin King,FA,CB,-,-,171.63,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Luther Kirk,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kader Kohou,KC,CB,-,-,169.89,-,-,-,-,629.00,-,,,,
T623,Bilhal Kone,BAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Chris Lammons,FA,CB,-,-,171.49,-,-,-,-,-,-,,,Ques,Foot
T623,Cam Lampkin,LAR,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kamari Lassiter,HOU,CB,-,-,139.23,-,-,-,-,395.60,-,,1.00,,
T623,Marshon Lattimore,FA,CB,-,-,171.90,-,-,-,-,-,-,,,Ques,Knee - ACL
T623,Des Lawrence,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Will Lee,CAR,CB,-,-,169.81,-,-,-,-,-,-,,,,
T623,Deommodore Lenoir,SF,CB,-,-,170.81,-,-,-,-,-,-,,,,
T623,Deane Leonard,LAC,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Cam Lewis,CHI,CB,-,-,170.48,-,-,-,-,-,-,,,,
T623,Jourdan Lewis,JAX,CB,-,-,173.97,-,-,-,-,-,-,,,,
T623,David Long,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Robert Longerbeam,BAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Keni-H Lovely,JAX,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Duron Lowe,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Chase Lucas,TB,CB,-,-,170.00,-,-,-,-,-,-,,,PUP-P,Undisclosed
T623,Jeadyn Lukus,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Darrell Luter,SF,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bralyn Lux,CIN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Avonte Maddox,DET,CB,-,-,171.63,-,-,-,-,-,-,,,,
T623,Jason Maitre,FA,CB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Dontae Manning,CHI,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Paul Manning,FA,CB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Devon Marshall,JAX,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jason Marshall,MIA,CB,-,-,169.89,-,-,-,-,-,-,,,,
T623,Keyon Martin,BAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Hezekiah Masses,LV,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Damarri Mathis,CLE,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Arthur Maulet,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Mac McCain,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jeremiah McClendon,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Nick McCloud,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Groin
T623,Zyon McCollum,TB,CB,-,-,176.92,-,-,-,-,652.50,-,,0.40,,
T623,Jermod McCoy,LV,CB,-,-,169.52,78.50,-,-,-,218.70,-,,,Ques,Knee
T623,Roger McCreary,DET,CB,-,-,170.20,-,-,-,-,-,-,,,,
T623,Deshawn McCuin,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Latrell McCutchin,FA,CB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Matthew McDoom,BAL,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Trent McDuffie,LAR,CB,-,-,152.18,-,-,-,-,659.50,-,,0.60,,
T623,Dwight McGlothern,MIN,CB,-,-,169.91,-,-,-,-,-,-,,,Ques,Hip
T623,Kool-Aid McKinstry,NO,CB,-,-,177.48,-,-,-,-,-,-,,0.40,,
T623,Kyler McMichael,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Ja'Quan McMillian,DEN,CB,-,-,169.72,-,-,-,-,-,-,,,,
T623,Jalen McMurray,TEN,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Mac McWilliams,PHI,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Max Melton,ARI,CB,-,-,170.68,-,-,-,-,-,-,,,,
T623,Cam Miller,CAR,CB,-,-,-,-,-,-,-,-,-,,,,
T623,D.J. Miller,BUF,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kobee Minor,NE,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Cameron Mitchell,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Quinyon Mitchell,PHI,CB,-,-,169.74,-,-,-,-,600.00,-,,,,
T623,Devin Moore,DAL,CB,-,-,169.79,-,-,-,-,-,-,,,,
T623,Kenny Moore,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,T.J. Moore,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Fabian Moreau,WAS,CB,-,-,174.05,-,-,-,-,-,-,,,,
T623,Benjamin Morrison,TB,CB,-,-,172.08,-,-,-,-,-,-,,0.40,,
T623,Malkelm Morrison,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Emmanuel Moseley,FA,CB,-,-,171.72,-,-,-,-,-,-,,,Ques,Illness
T623,Quandre Mosely,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Riley Moss,DEN,CB,-,-,172.48,-,-,-,-,631.50,-,,,,
T623,Jabbar Muhammad,JAX,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Malik Muhammad,CHI,CB,-,-,170.72,-,-,-,-,-,-,,,,
T623,Byron Murphy,MIN,CB,-,-,172.19,-,-,-,-,646.00,-,,,,
T623,Sean Murphy-Bunting,ARI,CB,-,-,170.74,-,-,-,-,-,-,,,,
T623,Julian Neal,SEA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Leg
T623,Nik Needham,FA,CB,-,-,171.57,-,-,-,-,-,-,,,,
T623,Greg Newsome,NYG,CB,-,-,170.06,-,-,-,-,-,-,,,,
T623,Quinton Newsome,ARI,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Newton,CIN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,DeCarlos Nicholson,CAR,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Parry Nickerson,FA,CB,-,-,172.90,-,-,-,-,-,-,,,,
T623,Keisean Nixon,GB,CB,-,-,179.09,-,-,-,-,587.00,-,,0.40,,
T623,Drey Norwood,LAR,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Caleb Offord,LV,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jeff Okudah,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Concussion
T623,Jordan Oladokun,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Donovan Olumba,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Amani Oruwariye,BAL,CB,-,-,171.78,-,-,-,-,-,-,,,,
T623,Jacob Parrish,TB,CB,-,-,172.81,-,-,-,-,-,-,,,,
T623,Rico Payton,NYG,CB,-,-,170.00,-,-,-,-,-,-,,,IR,Undisclosed
T623,D'Arco Perkins-McAllister,KC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Patrick Peterson,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Bryce Phillips,KC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Clark Phillips,ATL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Dru Phillips,NYG,CB,-,-,173.70,-,-,-,-,-,-,,,,
T623,James Pierre,MIN,CB,-,-,170.55,-,-,-,-,-,-,,,,
T623,Jalen Pitre,HOU,CB,-,-,166.08,-,-,-,-,309.20,-,,0.60,,
T623,Derrek Pitts,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Carlins Platel,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,D'Angelo Ponds,NYJ,CB,-,-,169.48,76.52,-,-,-,519.90,-,,,Ques,Calf
T623,Darien Porter,LV,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Daryl Porter,PIT,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jackson Porter,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Joey Porter,PIT,CB,-,-,172.59,-,-,-,-,535.00,-,,,PUP-P,Back
T623,Bobby Price,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jayden Price,NO,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Toriano Pride,BUF,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Troy Pride,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,De'Antre Prince,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nehemiah Pritchett,SEA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Karon Prunty,NE,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Ephesians Prysock,SF,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Myles Purchase,LAC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Brendan Radley-Hiles,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Ennis Rakestraw,DET,CB,-,-,170.72,-,-,-,-,-,-,,,,
T623,D.J. Reed,DET,CB,-,-,178.55,-,-,-,-,-,-,,0.40,,
T623,Nikko Reed,LAC,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Hamstring
T623,Michael Reid,NO,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Shavon Revel,DAL,CB,-,-,170.58,-,-,-,-,603.00,-,,,,
T623,Decamerion Richardson,LV,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Eli Ricks,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Quincy Riley,NO,CB,-,-,170.55,-,-,-,-,-,-,,,,
T623,Kelee Ringo,PHI,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Chandler Rivers,BAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Amik Robertson,WAS,CB,-,-,170.76,-,-,-,-,-,-,,,,
T623,Nickell Robey-Coleman,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Ethan Robinson,MIA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaden Robinson,DEN,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jakob Robinson,SF,CB,-,-,-,-,-,-,-,-,-,,,Ques,Forearm
T623,Marquise Robinson,BAL,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Micah Robinson,TEN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Robert Rochell,CAR,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Isaiah Rodgers,MIN,CB,-,-,170.37,-,-,-,-,-,-,,,,
T623,Eric Rogers,LAC,CB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Christian Roland-Wallace,KC,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Back
T623,D'Angelo Ross,CLE,CB,-,-,171.67,-,-,-,-,-,-,,,,
T623,De'Shawn Rucker,DET,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Darius Rush,WAS,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,KeiVarae Russell,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Mike Sainristil,WAS,CB,-,-,174.20,-,-,-,-,494.10,-,,,,
T623,Asante Samuel,PIT,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Marcus Sayles,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Eric Scott,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Keionte Scott,TB,CB,-,-,171.01,-,-,-,-,444.90,-,,,,
T623,Kevon Seymour,FA,CB,-,-,173.53,-,-,-,-,-,-,,,,
T623,Kendall Sheffield,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Duke Shelley,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Rodney Shelley,LAC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaylin Simpson,GB,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Doneiko Slaughter,PIT,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Darius Slay,FA,CB,-,-,171.09,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T623,Avery Smith,LAC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Cam Smith,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jaylin Smith,HOU,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Keidron Smith,NYJ,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Melvin Smith,KC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Terell Smith,CHI,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,Tremon Smith,HOU,CB,-,-,171.65,-,-,-,-,-,-,,,,
T623,Chau Smith-Wade,CAR,CB,-,-,170.45,-,-,-,-,-,-,,,,
T623,L'Jarius Sneed,KC,CB,-,-,170.09,-,-,-,-,-,-,,,,
T623,Ameer Speed,DAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Benjamin St-Juste,GB,CB,-,-,170.55,-,-,-,-,-,-,,,,
T623,Brandon Stephens,NYJ,CB,-,-,173.63,-,-,-,-,-,-,,0.40,Ques,Neck
T623,Tyrique Stevenson,CHI,CB,-,-,172.06,-,-,-,-,658.50,-,,,,
T623,Reddy Steward,DAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Qwan'tez Stiggers,NYJ,CB,-,-,170.04,-,-,-,-,-,-,,,Ques,Knee
T623,Tarheeb Still,LAC,CB,-,-,171.51,-,-,-,-,-,-,,,,
T623,Derek Stingley,HOU,CB,-,-,168.24,-,-,-,-,553.00,-,,,,
T623,Eric Stokes,LV,CB,-,-,170.05,-,-,-,-,-,-,,,,
T623,Upton Stout,SF,CB,-,-,172.74,-,-,-,-,610.30,-,,,,
T623,Greg Stroman,FA,CB,-,-,172.06,-,-,-,-,-,-,,,,
T623,Dorian Strong,BUF,CB,-,-,170.00,-,-,-,-,-,-,,,NFI-R,Neck
T623,Patrick Surtain,DEN,CB,-,-,159.56,-,-,-,-,551.40,-,,0.20,,
T623,Cameron Sutton,FA,CB,-,-,171.99,-,-,-,-,-,-,,,,
T623,T.J. Tampa,BAL,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Alontae Taylor,TEN,CB,-,-,180.34,-,-,-,-,389.70,-,,0.40,,
T623,Ja'Sir Taylor,CIN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Keith Taylor,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Reese Taylor,DEN,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Cam Taylor-Britt,IND,CB,-,-,169.76,-,-,-,-,-,-,,,,
T623,A.J. Terrell,ATL,CB,-,-,177.85,-,-,-,-,-,-,,0.40,,
T623,Avieon Terrell,ATL,CB,-,-,170.56,79.29,-,-,-,281.40,-,,,,
T623,Ambry Thomas,PHI,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Azareye'h Thomas,NYJ,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Starling Thomas,ARI,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Tavierre Thomas,MIN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Stantley Thomas-Oliver,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,NaJee Thompson,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Corey Thornton,CAR,CB,-,-,170.79,-,-,-,-,-,-,,,,
T623,Tre Tomlinson,FA,CB,-,-,170.28,-,-,-,-,-,-,,,,
T623,Cory Trice,FA,CB,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,DJ Turner,CIN,CB,-,-,172.12,-,-,-,-,-,-,,,,
T623,Carrington Valentine,GB,CB,-,-,169.95,-,-,-,-,-,-,,,Ques,Leg
T623,Greedy Vance,LV,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Zemaiah Vaughn,MIN,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Zelmar Vedder,KC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,David Vereen,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Car'lin Vigers,WAS,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kindle Vildor,NE,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Shaun Wade,PHI,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Kani Walker,BUF,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Wallace,LAR,CB,-,-,169.80,-,-,-,-,-,-,,,,
T623,Levi Wallace,FA,CB,-,-,171.64,-,-,-,-,-,-,,,,
T623,Justin Walley,IND,CB,-,-,170.00,-,-,-,-,596.00,-,,,,
T623,Charvarius Ward,IND,CB,-,-,170.18,-,-,-,-,-,-,,,,
T623,Denzel Ward,CLE,CB,-,-,168.47,-,-,-,-,581.00,-,,,,
T623,Jaylen Watson,LAR,CB,-,-,172.28,-,-,-,-,-,-,,,,
T623,Isas Waxter,LAC,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Sam Webb,DEN,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Chris Westry,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Ryan White,FA,CB,-,-,-,-,-,-,-,-,-,,,,
T623,Tre'Davious White,FA,CB,-,-,172.99,-,-,-,-,-,-,,,,
T623,Nick Whiteside,DET,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nate Wiggins,BAL,CB,-,-,176.39,-,-,-,-,580.00,-,,0.40,,
T623,Damarion Williams,TB,CB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Darious Williams,LAR,CB,-,-,170.00,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T623,Dee Williams,FA,CB,-,-,170.00,-,-,-,-,-,-,,,,
