,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
71,Brian Thomas,JAX,WR,69.97,71.00,103.42,64.96,72.44,86.30,89.60,80.60,60.00,,2.74,,
72,DK Metcalf,PIT,WR,80.00,71.10,87.61,83.44,73.31,86.20,89.70,79.10,89.50,11.59,4.70,,
73,Jaylen Warren,PIT,RB,73.16,73.70,102.84,75.82,71.68,75.70,86.50,78.20,77.50,11.58,2.85,,
74,Caleb Williams,CHI,QB,65.98,74.30,91.69,31.93,72.84,71.70,20.80,69.40,56.00,,3.73,,
75,RJ Harvey,DEN,RB,71.16,75.60,125.97,80.76,78.26,95.50,83.90,65.10,59.50,,1.56,,
76,Jordyn Tyson,NO,WR,82.87,76.90,97.81,15.25,81.32,91.20,88.20,75.20,55.50,33.89,3.55,,
77,Chuba Hubbard,CAR,RB,88.85,77.50,111.40,80.76,76.68,70.40,100.20,96.60,84.00,10.58,2.29,,
78,Marvin Harrison,ARI,WR,73.16,78.00,89.68,73.90,69.89,79.30,94.40,86.90,62.50,,4.84,,
79,Makai Lemon,PHI,WR,90.00,79.60,110.16,17.09,92.99,98.80,98.80,83.80,73.50,28.13,2.48,Ques,Undisclosed
80,Courtland Sutton,DEN,WR,74.89,80.10,85.83,92.02,75.09,97.30,95.00,84.20,114.00,7.53,4.90,,
81,Jaxson Dart,NYG,QB,90.73,80.60,74.58,53.67,90.08,77.70,34.20,77.60,57.50,,5.03,,
82,Michael Wilson,ARI,WR,93.15,82.00,106.50,99.82,87.32,102.20,98.30,89.60,86.00,8.15,2.51,,
83,Justin Herbert,LAC,QB,78.84,83.70,108.36,41.75,77.36,66.60,30.00,76.60,39.50,16.36,3.22,,
84,Dak Prescott,DAL,QB,76.63,84.50,89.18,51.57,82.46,76.70,42.90,85.50,124.00,11.19,4.12,,
85,Rico Dowdle,PIT,RB,92.23,85.10,108.33,91.80,91.88,84.10,103.70,109.70,102.00,8.16,2.43,,
86,Rhamondre Stevenson,NE,RB,82.76,86.40,112.42,91.66,83.08,84.70,96.90,93.70,109.50,8.97,1.90,,
87,Tony Pollard,TEN,RB,82.50,87.70,88.76,86.77,82.88,87.40,101.70,101.80,142.00,12.41,4.90,,
88,Parker Washington,JAX,WR,82.56,88.70,102.65,90.49,78.53,94.60,102.70,102.50,97.50,11.30,3.00,,
89,J.K. Dobbins,DEN,RB,94.89,89.90,122.13,97.64,101.73,100.30,111.40,120.20,118.00,8.55,1.63,,
90,Alec Pierce,IND,WR,80.97,90.00,96.00,85.87,77.39,81.60,114.40,112.80,92.00,13.02,3.92,PUP-P,Ankle
91,Dalton Kincaid,BUF,TE,124.23,91.20,136.17,106.98,124.37,99.70,97.50,88.70,80.00,4.71,1.16,,
92,George Kittle,SF,TE,108.60,92.60,94.15,86.43,119.81,90.40,106.50,116.90,108.00,9.23,3.05,PUP-P,Achilles
93,Chris Godwin,TB,WR,90.73,93.90,143.81,95.28,96.18,97.90,112.30,124.00,156.00,10.68,1.42,,
94,Jakobi Meyers,JAX,WR,104.55,94.80,114.26,111.03,97.15,125.40,113.00,105.50,130.00,6.52,1.82,,
95,Kyle Monangai,CHI,RB,92.85,95.30,130.50,95.29,92.44,96.30,107.10,94.60,82.00,8.50,1.48,,
96,Travis Kelce,KC,TE,120.56,96.90,101.51,95.70,123.14,95.70,104.30,125.50,151.50,6.19,2.55,,
97,Trevor Lawrence,JAX,QB,87.45,97.40,95.01,50.31,81.62,86.10,38.00,90.00,94.00,15.05,3.16,,
98,Jake Ferguson,DAL,TE,106.90,98.10,110.41,105.43,118.75,112.60,110.60,113.80,107.50,4.22,1.95,,
99,Matthew Stafford,LAR,QB,87.58,98.40,78.47,58.85,92.70,100.60,64.80,107.70,143.50,13.00,4.79,,
100,Jordan Addison,MIN,WR,106.39,100.70,121.75,107.88,106.56,120.30,119.60,121.30,80.50,6.42,1.69,,
101,Michael Pittman,PIT,WR,99.68,101.00,90.32,105.25,91.50,120.30,120.30,125.60,116.50,9.23,4.36,,
102,Patrick Mahomes,KC,QB,97.81,102.00,104.68,53.19,100.03,95.60,41.90,98.90,61.50,18.64,3.60,Ques,Knee - ACL
103,Blake Corum,LAR,RB,101.06,103.30,138.15,108.55,99.41,97.60,116.20,114.30,105.50,,1.23,,
104,Oronde Gadsden,LAC,TE,136.11,104.50,168.99,125.68,137.47,125.00,116.00,116.30,78.00,5.98,0.26,,
105,Quentin Johnston,LAC,WR,92.08,105.80,143.21,103.28,90.74,113.10,122.20,133.30,131.50,7.34,1.19,,
106,Wan'Dale Robinson,TEN,WR,105.56,106.70,115.29,111.74,102.37,130.20,124.60,127.50,87.50,6.07,1.84,,
