,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Tyree Jackson,FA,TE,-,-,-,Ques,Undisclosed
T350,Michael Jacobson,FA,TE,-,-,-,,
T350,Jesse James,FA,TE,-,-,-,,
T350,E.J. Jenkins,PHI,TE,-,-,-,,
T350,Justin Johnson,FA,TE,-,-,-,,
T350,Mark Redman,LAR,TE,-,-,-,,
T350,Tip Reiman,ARI,TE,-,-,-,PUP-P,Ankle
T350,Giovanni Ricci,FA,TE,-,-,-,,
T350,Jared Rice,FA,TE,-,-,-,,
T350,Mike Rigerman,FA,TE,-,-,-,,
T350,Justin Rigg,FA,TE,-,-,-,,
T350,Richard Rodgers,FA,TE,-,-,-,,
T350,Armani Rogers,FA,TE,-,-,-,,
T350,DJ Rogers,DAL,TE,-,-,551.50,,
T350,Sam Roush,CHI,TE,216.00,-,456.20,,
T350,Joe Royer,CLE,TE,216.00,-,-,,
T350,Hayden Rucci,SF,TE,-,-,-,,
T350,Jeremy Ruckert,NYJ,TE,-,-,-,,
T350,Carter Runyon,LV,TE,-,-,-,,
T350,Carsen Ryan,CLE,TE,-,-,-,,
T350,Marlin Klein,HOU,TE,216.00,-,519.00,,
T350,Thomas Odukoya,FA,TE,-,-,-,Ques,Undisclosed
T350,Drew Ogletree,IND,TE,-,-,-,,
T350,Albert Okwuegbunam,LV,TE,-,-,-,,
T350,Josh Oliver,MIN,TE,216.00,-,-,,
T350,Johnny Pascuzzi,LAC,TE,-,-,-,,
T350,Josh Pederson,FA,TE,-,-,-,,
T350,Jordan Petaia,FA,TE,-,-,-,,
T350,Jamal Pettigrew,FA,TE,-,-,-,,
T350,Chris Pierce,FA,TE,-,-,-,,
T350,Bryce Pierre,FA,TE,-,-,-,Ques,Undisclosed
T350,Mason Pline,KC,TE,-,-,-,,
T350,Tony Poljan,FA,TE,-,-,-,,
T350,Caden Prieskorn,CAR,TE,-,-,-,,
T350,MyCole Pruitt,FA,TE,-,-,-,,
T350,Layne Pryor,HOU,TE,-,-,-,,
T350,Teagan Quitoriano,ARI,TE,-,-,-,,
T350,Caleb Lohner,DEN,TE,-,-,-,Ques,Lower Body
T350,Hunter Long,JAX,TE,-,-,-,,
T350,James Looney,FA,TE,-,-,-,,
T350,Hayden Large,CHI,TE,-,-,-,,
T350,Cameron Latu,PHI,TE,-,-,472.50,,
T350,Keleki Latu,BUF,TE,216.00,-,-,,
T350,Matt Lauter,FA,TE,-,-,-,,
T350,Dylan Leonard,FA,TE,-,-,-,,
T350,Marcedes Lewis,FA,TE,-,-,-,,
T350,Tyler Mabry,FA,TE,-,-,-,Ques,Undisclosed
T350,Devin Mahina,FA,TE,-,-,-,,
T350,Will Mallory,IND,TE,-,-,-,,
T350,Chris Manhertz,NYG,TE,-,-,-,,
T350,David Martin-Robinson,TEN,TE,-,-,-,,
T350,RJ Maryland,GB,TE,-,-,-,,
T350,Lance Mason,SEA,TE,-,-,490.20,,
T350,Moliki Matavao,NO,TE,216.00,-,-,,
T350,Jordan Matthews,FA,TE,-,-,-,,
T350,Camren McDonald,FA,TE,-,-,-,,
T350,Sean McKeon,IND,TE,-,-,-,,
T350,Tre' McKitty,FA,TE,-,-,-,,
T350,Tanner McLachlan,SF,TE,-,-,-,IR,Undisclosed
T350,Taylor McNamara,FA,TE,-,-,-,,
T350,Lake McRee,PIT,TE,-,-,521.00,,
T350,Jackson Meeks,DET,TE,-,-,-,,
T350,Carson Meier,FA,TE,-,-,-,,
T350,Chamon Metayer,CAR,TE,-,-,557.50,,
T350,James Mitchell,CAR,TE,-,-,-,,
T350,John Mitchell,FA,TE,-,-,-,,
T350,Zaire Mitchell-Paden,NO,TE,-,-,-,,
T350,Briley Moore,FA,TE,-,-,-,,
T350,Quentin Moore,WAS,TE,-,-,-,,
T350,Foster Moreau,HOU,TE,-,-,-,,
T350,Quintin Morris,JAX,TE,-,-,-,,
T350,Thaddeus Moss,FA,TE,-,-,-,,
T350,Johnny Mundt,PHI,TE,-,-,-,,
T350,Nick Muse,DET,TE,-,-,-,,
T350,Luke Musgrave,GB,TE,216.00,-,537.30,PUP-P,Neck
T350,Chris Myarick,FA,TE,-,-,-,,
T350,Bryson Nesbit,MIN,TE,-,-,-,,
T350,Garrett Dickerson,FA,TE,-,-,-,,
T350,Khalil Dinkins,FA,TE,-,-,-,Ques,Undisclosed
T350,CJ Dippre,NE,TE,-,-,-,PUP-P,Undisclosed
T350,Will Dissly,FA,TE,-,-,-,Ques,Undisclosed
T350,Tanner Arkin,NE,TE,-,-,-,,
T350,Dan Arnold,FA,TE,-,-,-,,
T350,Elijah Arroyo,SEA,TE,215.90,-,245.20,,
T350,Josh Babicz,FA,TE,-,-,-,,
T350,Stephen Baggett,FA,TE,-,-,-,,
T350,Gavin Bartholomew,MIN,TE,-,-,-,Ques,Back
T350,Brenden Bates,CLE,TE,-,-,-,,
T350,John Bates,WAS,TE,-,-,-,Ques,Hamstring
T350,Ben Beise,FA,TE,-,-,-,,
T350,Drew Belcher,FA,TE,-,-,-,,
T350,Blake Bell,FA,TE,-,-,-,,
T350,Jaheim Bell,PIT,TE,-,-,-,,
T350,Daniel Bellinger,TEN,TE,-,-,-,,
T350,Dallen Bentley,DEN,TE,-,-,-,,
T350,Shaun Beyer,FA,TE,-,-,-,,
T350,Kendall Blanton,FA,TE,-,-,-,,
T350,Nate Boerkircher,JAX,TE,-,-,529.60,,
T350,Naz Bohannon,FA,TE,-,-,-,,
T350,Zamir White,FA,RB,-,-,-,,
T350,ZaQuandre White,FA,RB,-,-,-,,
T350,Noah Whittington,HOU,RB,-,-,-,,
T350,Michael Wiley,FA,RB,-,-,-,Ques,Undisclosed
T350,Antonio Williams,FA,RB,-,-,-,,
T350,D.J. Williams,FA,RB,-,-,-,Ques,Undisclosed
T350,Jamaal Williams,FA,RB,-,-,-,,
T350,Carlos Washington,MIA,RB,-,-,-,,
T350,Josh Williams,TB,RB,-,-,-,,
T350,Pooka Williams,FA,RB,-,-,-,,
T350,Rasheed Williams,FA,RB,-,-,-,,
T350,Trayveon Williams,FA,RB,-,-,-,,
T350,Zach Ertz,FA,TE,-,-,402.00,Ques,Knee - ACL
T350,Mitchell Evans,CAR,TE,216.00,-,-,,
T350,Gerald Everett,FA,TE,-,-,-,,
T350,Michael Ezeike,FA,TE,-,-,-,,
T350,Rivaldo Fairweather,ARI,TE,-,-,-,,
T350,Payne Durham,TB,TE,-,-,393.00,,
T350,Ross Dwelley,FA,TE,-,-,-,,
T350,Eric Ebron,FA,TE,-,-,-,,
T350,Jack Endries,CIN,TE,216.00,-,365.80,,
T350,Thomas Fidone,NYG,TE,-,-,-,,
T350,Anthony Firkser,DET,TE,-,-,-,Ques,Leg
T350,Tucker Fisk,FA,TE,-,-,-,,
T350,John FitzPatrick,FA,TE,-,-,-,Ques,Achilles
T350,Kenny Fletcher,TB,TE,-,-,-,,
T350,Miller Forristall,FA,TE,-,-,-,,
T350,Austin Fort,FA,TE,-,-,-,,
T350,Jody Fortson,FA,TE,-,-,-,,
T350,Cole Fotheringham,FA,TE,-,-,-,,
T350,Feleipe Franks,CAR,TE,-,-,-,,
T350,Thomas Gordon,DET,TE,-,-,-,,
T350,Cam Grandy,CIN,TE,-,-,-,Ques,Chest
T350,Colin Granger,FA,TE,-,-,-,,
T350,Kylen Granson,TEN,TE,-,-,-,,
T350,Noah Gray,KC,TE,216.00,-,366.00,,
T350,Seth Green,FA,TE,-,-,-,,
T350,Xavier Grimble,FA,TE,-,-,-,,
T350,Nick Guggemos,FA,TE,-,-,-,,
T350,Grayson Gunter,FA,TE,-,-,-,,
T350,Patrick Gurd,LV,TE,-,-,-,,
T350,John Michael Gyllenborg,KC,TE,-,-,536.70,IR,Knee
T350,Heinrich Haarberg,FA,TE,-,-,-,,
T350,Jeremiah Hall,FA,TE,-,-,-,,
T350,Louis Hansen,FA,TE,-,-,-,,
T350,Cody Hardy,NO,TE,-,-,-,,
T350,Jackson Hawes,BUF,TE,-,-,-,,
T350,Jonathan Ward,FA,RB,-,-,-,,
T350,Jordan Waters,LAR,RB,-,-,-,,
T350,Blake Watson,FA,RB,-,-,-,Ques,Undisclosed
T350,Devwah Whaley,FA,RB,-,-,-,,
T350,Ian Wheeler,BUF,RB,-,-,-,,
T350,Anthony Tyus,CAR,RB,-,-,-,,
T350,Sione Vaki,DET,RB,216.00,-,-,Ques,Eye
T350,Xazavian Valladay,FA,RB,-,-,-,,
T350,Deuce Vaughn,FA,RB,-,-,500.00,,
T350,Jordon Vaughn,FA,RB,-,-,-,,
T350,Ke'Shawn Vaughn,FA,RB,-,-,-,,
T350,CJ Verdell,FA,RB,-,-,-,,
T350,De'Montre Tuggle,FA,RB,-,-,-,,
T350,Xavier Turner,FA,RB,-,-,-,,
T350,Chip Trayanum,NYJ,RB,-,-,-,,
T350,Patrick Taylor,SF,RB,-,-,-,,
T350,Master Teague,FA,RB,-,-,-,,
T350,SaRodorick Thompson,FA,RB,-,-,-,,
T350,DeAndre Torrey,FA,RB,-,-,-,,
T350,Terion Stewart,FA,RB,-,-,-,,
T350,Tre Stewart,FA,RB,-,-,-,,
T350,Pierre Strong,GB,RB,216.00,-,-,,
T350,Titus Swen,FA,RB,-,-,-,,
T350,Elijah Tau-Tolliver,BAL,RB,-,-,-,,
T350,Corey Taylor,FA,RB,-,-,-,,
T350,J'Mari Taylor,JAX,RB,216.00,-,289.90,,
T350,J.J. Taylor,FA,RB,-,-,-,,
T350,Nick Bowers,FA,TE,-,-,-,,
T350,Nick Boyle,FA,TE,-,-,-,,
T350,Jerand Bradley,LAC,TE,-,-,-,,
T350,Jacob Breeland,FA,TE,-,-,-,,
T350,Cade Brewer,FA,TE,-,-,-,,
T350,Jake Briningstool,KC,TE,-,-,-,,
T350,Keenen Brown,FA,TE,-,-,-,,
T350,Pharaoh Brown,FA,TE,-,-,-,,
T350,Harrison Bryant,FA,TE,-,-,-,Ques,Undisclosed
T350,Jake Burt,FA,TE,-,-,-,,
T350,Trey Burton,FA,TE,-,-,-,,
T350,Matt Bushman,FA,TE,-,-,-,,
T350,Lawrence Cager,WAS,TE,-,-,-,,
T350,Grant Calcaterra,PHI,TE,-,-,-,,
T350,Sal Cannella,FA,TE,-,-,-,,
T350,Stephen Carlson,CHI,TE,-,-,-,,
T350,Derek Carrier,FA,TE,-,-,-,,
T350,Roger Carter,FA,TE,-,-,-,,
T350,McCallan Castles,FA,TE,-,-,-,,
T350,Charles Clay,FA,TE,-,-,-,,
T350,Tyler Conklin,DET,TE,216.00,-,-,PUP-P,Knee
T350,Ethan Conner,JAX,TE,-,-,-,,
T350,Tanner Conner,NYG,TE,-,-,-,,
T350,Jalin Conyers,FA,TE,-,-,-,,
T350,Jared Cook,FA,TE,-,-,-,,
T350,Daniel Crawford,FA,TE,-,-,-,,
T350,Micky Crum,FA,TE,-,-,-,,
T350,Josh Cuevas,BAL,TE,-,-,548.80,,
T350,Devin Culp,TB,TE,-,-,-,,
T350,Baylor Cupp,FA,TE,-,-,-,,
T350,Chase Curtis,NYJ,TE,-,-,-,,
T350,Drake Dabney,GB,TE,-,-,-,,
T350,Zach Davidson,FA,TE,-,-,-,,
T350,Tyler Davis,FA,TE,-,-,-,,
T350,Easton Dean,FA,TE,-,-,-,,
T350,Derrick Deese,FA,TE,-,-,-,,
T350,Josiah Deguara,SF,TE,-,-,-,,
T350,Owen Wright,FA,RB,-,-,-,,
T350,T.J. Yeldon,FA,RB,-,-,-,,
T350,Micah Abernathy,FA,S,-,-,-,,
T350,Johnathan Abram,FA,S,-,-,-,,
T350,Jamal Adams,MIN,S,-,-,-,,
T350,Tony Adams,TEN,S,-,-,-,,
T350,Nasir Adderley,FA,S,-,-,-,,
T350,Jon Alexander,FA,S,-,-,-,,
T350,Ugo Amadi,FA,S,-,-,-,,
T350,Adrian Amos,FA,S,-,-,-,,
T350,Tycen Anderson,DEN,S,-,-,-,,
T350,Zayne Anderson,MIA,S,-,-,-,,
T350,Daijahn Anthony,CIN,S,-,-,-,,
T350,Grayland Arnold,FA,S,-,-,-,,
T350,Noah Avinger,LAC,S,-,-,-,,
T350,Budda Baker,ARI,S,-,-,-,,
T350,Marcus Banks,TB,S,-,-,-,,
T350,Jessie Bates,ATL,S,-,-,-,,
T350,John Battle,FA,S,-,-,-,,
T350,Jordan Battle,CIN,S,-,-,-,,
T350,D'Anthony Bell,SEA,S,-,-,-,,
T350,Markquese Bell,DAL,S,-,-,-,,
T350,Vonn Bell,FA,S,-,-,-,,
T350,Dane Belton,NYJ,S,-,-,-,,
T350,Cole Bishop,BUF,S,-,-,-,Ques,Knee
T350,Julian Blackmon,NO,S,-,-,-,,
T350,Marquise Blair,FA,S,-,-,-,,
T350,Reed Blankenship,HOU,S,-,-,-,,
T350,Joey Blount,ARI,S,-,-,-,Ques,Undisclosed
T350,Bubba Bolden,FA,S,-,-,-,,
T350,Billy Bowman,ATL,S,-,-,-,PUP-P,Achilles
T350,Beau Brade,NYG,S,-,-,-,,
T350,Brian Branch,DET,S,-,-,-,PUP-P,Achilles
T350,Jaquan Brisker,PIT,S,-,-,-,,
T350,Kendell Brooks,TEN,S,-,-,-,,
T350,Larry Brooks,FA,S,-,-,-,,
T350,Aamaris Brown,DET,S,-,-,-,,
T350,Austin Brown,IND,S,-,-,-,,
T350,Ji'Ayir Brown,SF,S,-,-,-,,
T350,Mike Brown,NE,S,-,-,-,,
T350,Omar Brown,MIA,S,-,-,-,,
T350,Sydney Brown,ATL,S,-,-,-,,
T350,Coby Bryant,CHI,S,-,-,-,Ques,Knee
T350,Javon Bullard,GB,S,-,-,-,,
T350,Calen Bullock,HOU,S,-,-,-,,
T350,Terrell Burgess,NO,S,-,-,-,,
T350,Major Burns,MIA,S,-,-,-,,
T350,Deon Bush,FA,S,-,-,-,Ques,Achilles
T350,Percy Butler,WAS,S,-,-,-,,
T350,Kevin Byard,NE,S,-,-,-,,
T350,Camryn Bynum,IND,S,-,-,-,,
T350,Elijah Campbell,NYG,S,-,-,-,,
T350,Derrick Canteen,TEN,S,-,-,-,,
T350,Sebastian Castro,PIT,S,-,-,-,,
T350,Andre Chachere,FA,S,-,-,-,,
T350,Duce Chestnut,FA,S,-,-,-,,
T350,Zion Childress,DAL,S,-,-,-,Ques,Hamstring
T350,Jeremy Chinn,LV,S,-,-,-,,
T350,Lewis Cine,FA,S,-,-,-,,
T350,Andre Cisco,NYJ,S,-,-,-,Ques,Pectoral
T350,Alijah Clark,DAL,S,-,-,-,,
T350,Bud Clark,SEA,S,-,-,-,,
T350,Chuck Clark,DET,S,-,-,-,,
T350,Dean Clark,NYJ,S,-,-,-,,
T350,Hudson Clark,FA,S,-,-,-,,
T350,Adrian Colbert,FA,S,-,-,-,,
T350,Chamarri Conner,KC,S,-,-,-,,
T350,Alex Cook,LAR,S,-,-,-,,
T350,Bryan Cook,CIN,S,-,-,-,,
T350,Kitan Crawford,ARI,S,-,-,-,Ques,Ankle
T350,Nick Cross,WAS,S,-,-,-,,
T350,Dane Cruikshank,FA,S,-,-,-,,
T350,Kamren Curl,LAR,S,-,-,-,,
T350,Marcel Dabo,FA,S,-,-,-,,
T350,Ashtyn Davis,SF,S,-,-,-,,
T350,Elliott Davison,NO,S,-,-,-,,
T350,Cooper DeJean,PHI,S,-,-,-,,
T350,Grant Delpit,CLE,S,-,-,-,,
T350,Ben DeLuca,FA,S,-,-,-,,
T350,Trevor Denbow,FA,S,-,-,-,,
T350,Quandre Diggs,FA,S,-,-,-,,
T350,Malik Dixon-Williams,FA,S,-,-,-,,
T350,Caleb Downs,DAL,S,-,-,-,,
T350,Kyle Dugger,CIN,S,-,-,-,,
T350,Christopher Edmonds,CLE,S,-,-,-,,
T350,Terrell Edmunds,FA,S,-,-,-,,
T350,Mike Edwards,FA,S,-,-,-,,
T350,DeShon Elliott,PIT,S,-,-,-,,
T350,Jalen Elliott,FA,S,-,-,-,,
T350,Nick Emmanwori,SEA,S,-,-,-,PUP-P,Ankle
T350,Marcus Epps,PHI,S,-,-,-,,
T350,AJ Finley,SEA,S,-,-,-,Ques,Knee
T350,Bishop Fitzgerald,TEN,S,-,-,-,,
T350,Minkah Fitzpatrick,NYJ,S,-,-,-,,
T350,Darrick Forrest,SF,S,-,-,-,IR,Undisclosed
T350,Sam Franklin,BUF,S,-,-,-,,
T350,Jordan Fuller,FA,S,-,-,-,,
T350,C.J. Gardner-Johnson,BUF,S,-,-,-,Ques,Calf
T350,Marcus Gilchrist,FA,S,-,-,-,,
T350,Alohi Gilman,KC,S,-,-,-,,
T350,Tashaun Gipson,FA,S,-,-,-,,
T350,Devin Grant,LAC,S,-,-,-,,
T350,Richie Grant,FA,S,-,-,-,,
T350,J.T. Gray,PHI,S,-,-,-,,
T350,Kapena Gushiken,PHI,S,-,-,-,,
T350,Kahlef Hailassie,MIN,S,-,-,-,,
T350,Erick Hallett,TEN,S,-,-,-,,
T350,Kyle Hamilton,BAL,S,-,-,-,,
T350,Damar Hamlin,BUF,S,-,-,-,,
T350,Jordan Hancock,BUF,S,-,-,-,,
T350,Thomas Harper,DET,S,-,-,-,Ques,Concussion
T350,Will Harris,WAS,S,-,-,-,,
T350,A.J. Haulcy,IND,S,-,-,-,,
T350,Jaylinn Hawkins,BAL,S,-,-,-,,
T350,DeMarcco Hellams,ATL,S,-,-,-,Ques,Hamstring
T350,Jack Henderson,PIT,S,-,-,-,,
T350,Ronnie Hickman,CLE,S,-,-,-,,
T350,Elijah Hicks,CHI,S,-,-,-,PUP-P,Shin
T350,Jaden Hicks,KC,S,-,-,-,,
T350,Brandon Hill,FA,S,-,-,-,,
T350,Jevon Holland,NYG,S,-,-,-,Ques,Knee
T350,Maxen Hook,SEA,S,-,-,-,,
T350,Amani Hooker,TEN,S,-,-,-,,
T350,Malik Hooker,DAL,S,-,-,-,,
T350,Jordan Howden,NO,S,-,-,-,,
T350,Talanoa Hufanga,DEN,S,-,-,-,,
T350,Jalen Huskey,JAX,S,-,-,-,,
T350,Desmond Igbinosun,FA,S,-,-,-,,
T350,Tanner Ingle,LAR,S,-,-,-,,
T350,Daniel Isom,FA,S,-,-,-,,
T350,Christian Izien,DET,S,-,-,-,,
T350,Dan Jackson,DET,S,-,-,-,Ques,Leg
T350,Eddie Jackson,FA,S,-,-,-,,
T350,Kareem Jackson,FA,S,-,-,-,,
T350,Keondre Jackson,BAL,S,-,-,-,,
T350,Matthew Jackson,FA,S,-,-,-,,
T350,Theo Jackson,MIN,S,-,-,-,,
T350,Derwin James,LAC,S,-,-,-,,
T350,Tony Jefferson,LAC,S,-,-,-,,
T350,Rayshawn Jenkins,PIT,S,-,-,-,,
T350,Anthony Johnson,CHI,S,-,-,-,,
T350,Antonio Johnson,JAX,S,-,-,-,,
T350,Dalton Johnson,LV,S,-,-,-,,
T350,John Johnson,FA,S,-,-,-,,
T350,Lonnie Johnson,MIA,S,-,-,-,,
T350,Quindell Johnson,FA,S,-,-,-,,
T350,Tysheem Johnson,FA,S,-,-,-,,
T350,Brandon Jones,DEN,S,-,-,-,Ques,Pectoral
T350,Colin Jones,FA,S,-,-,-,,
T350,Brandon Joseph,FA,S,-,-,-,,
T350,Kerby Joseph,DET,S,-,-,-,PUP-P,Knee
T350,PJ Jules,CIN,S,-,-,-,,
T350,Sanoussi Kane,TEN,S,-,-,-,IR,Undisclosed
T350,Damontae Kazee,FA,S,-,-,-,,
T350,Murvin Kenion,GB,S,-,-,-,,
T350,Devon Key,DEN,S,-,-,-,,
T350,Jaylen Key,FA,S,-,-,-,,
T350,Jalon Kilgore,BUF,S,-,-,-,,
T350,Miles Killebrew,TB,S,-,-,-,,
T350,Kamren Kinchens,LAR,S,-,-,-,,
T350,Qwuantrezz Knight,WAS,S,-,-,-,,
T350,Kevin Knowles,KC,S,-,-,-,,
T350,Devin Lafayette,LV,S,-,-,-,,
T350,Quentin Lake,LAR,S,-,-,-,,
T350,Rayuan Lane,JAX,S,-,-,-,,
T350,Tucker Large,PHI,S,-,-,-,NFI-R,Undisclosed
T350,Raheem Layne,NYG,S,-,-,-,,
T350,P.J. Locke,DAL,S,-,-,-,Ques,Knee
T350,Julian Love,SEA,S,-,-,-,,
T350,Reuben Lowery,IND,S,-,-,-,Reserve-Ret,Undisclosed
T350,Quan Martin,WAS,S,-,-,-,,
T350,Tyrann Mathieu,FA,S,-,-,-,,
T350,Marcus Maye,FA,S,-,-,-,,
T350,Bobby McCain,FA,S,-,-,-,,
T350,Tanner McCalister,KC,S,-,-,-,,
T350,Jaylen McCollough,LAR,S,-,-,-,,
T350,Tristin McCollum,LV,S,-,-,-,,
T350,Robert McDaniel,WAS,S,-,-,-,,
T350,Xavier McKinney,GB,S,-,-,-,,
T350,Donovan McMillon,CLE,S,-,-,-,,
T350,Patrick McMorris,SF,S,-,-,-,,
T350,Emmanuel McNeil-Warren,CLE,S,-,-,-,,
T350,Jairon McVea,FA,S,-,-,-,,
T350,Ifeatu Melifonwu,TB,S,-,-,-,,
T350,Kaevon Merriweather,HOU,S,-,-,-,,
T350,Josh Metellus,MIN,S,-,-,-,Ques,Shoulder
T350,RJ Mickens,LAC,S,-,-,-,,
T350,Jalen Mills,FA,S,-,-,-,,
T350,Tre'von Moehrig,CAR,S,-,-,-,,
T350,Elijah Molden,LAC,S,-,-,-,,
T350,Jarius Monroe,NYJ,S,-,-,-,,
T350,Louis Moore,MIA,S,-,-,-,,
T350,Malachi Moore,NYJ,S,-,-,-,,
T350,Tarvarius Moore,FA,S,-,-,-,,
T350,Jordan Mosley,FA,S,-,-,-,,
T350,Israel Mukuamu,FA,S,-,-,-,,
T350,Andrew Mukuba,PHI,S,-,-,-,,
T350,Eric Murray,JAX,S,-,-,-,,
T350,Malik Mustapha,SF,S,-,-,-,Ques,Hamstring
T350,Devin Neal,JAX,S,-,-,-,,
T350,Ryan Neal,FA,S,-,-,-,,
T350,Siran Neal,SF,S,-,-,-,,
T350,Ben Nikkel,IND,S,-,-,-,,
T350,Morice Norris,FA,S,-,-,-,Ques,Concussion
T350,Tyler Nubin,NYG,S,-,-,-,,
T350,Xavier Nwankpa,KC,S,-,-,-,,
T350,Isaiah Nwokobia,CIN,S,-,-,-,,
T350,George Odum,FA,S,-,-,-,,
T350,Ty Okada,SEA,S,-,-,-,,
T350,Kitan Oladapo,GB,S,-,-,-,,
T350,Isaiah Oliver,ARI,S,-,-,-,,
T350,Gervarrius Owens,CHI,S,-,-,-,,
T350,Jonathan Owens,IND,S,-,-,-,,
T350,Tyler Owens,WAS,S,-,-,-,,
T350,Wande Owens,FA,S,-,-,-,,
T350,Ayo Oyelola,FA,S,-,-,-,,
T350,Makari Paige,FA,S,-,-,-,,
T350,VJ Payne,NYJ,S,-,-,-,,
T350,Jabrill Peppers,FA,S,-,-,-,,
T350,Devyn Perkins,LV,S,-,-,-,,
T350,Mark Perry,GB,S,-,-,-,,
T350,Dell Pettus,NE,S,-,-,-,,
T350,Jalyn Phillips,FA,S,-,-,-,,
T350,Jason Pinnock,NYG,S,-,-,-,,
T350,Isaiah Pola-Mao,LV,S,-,-,-,,
T350,Jordan Poyer,FA,S,-,-,-,Ques,Hamstring
T350,Josh Proctor,FA,S,-,-,-,,
T350,Maximus Pulley,PHI,S,-,-,-,,
T350,Jalen Ramsey,PIT,S,-,-,-,PUP-P,Knee
T350,Kamari Ramsey,HOU,S,-,-,-,,
T350,Caleb Ransaw,JAX,S,-,-,-,Ques,Lower Body
T350,Lathan Ransom,CAR,S,-,-,-,,
T350,Taylor Rapp,FA,S,-,-,-,Ques,Knee
T350,Jeremy Reaves,WAS,S,-,-,-,,
T350,Jaylen Reed,HOU,S,-,-,-,,
T350,Jerrick Reed,TEN,S,-,-,-,,
T350,Justin Reid,NO,S,-,-,-,,
T350,Demani Richardson,CAR,S,-,-,-,,
T350,J.J. Roberts,TB,S,-,-,-,Ques,Knee
T350,Jahquez Robinson,BAL,S,-,-,-,,
T350,Jammie Robinson,ATL,S,-,-,-,,
T350,Myles Rowser,FA,S,-,-,-,,
T350,Andre' Sam,PHI,S,-,-,-,,
T350,Shilo Sanders,FA,S,-,-,-,,
T350,Jonas Sanker,NO,S,-,-,-,,
T350,Benny Sapp,FA,S,-,-,-,,
T350,John Saunders,NE,S,-,-,-,,
T350,Darnell Savage,FA,S,-,-,-,,
T350,Brenden Schooler,NE,S,-,-,-,NFI-A,Undisclosed
T350,Daniel Scott,IND,S,-,-,-,,
T350,Miles Scott,DEN,S,-,-,-,,
T350,Nick Scott,CAR,S,-,-,-,,
T350,Marlen Sewell,FA,S,-,-,-,,
T350,Marques Sigle,SF,S,-,-,-,,
T350,Cam'Ron Silmon-Craig,JAX,S,-,-,-,,
T350,Isaiah Simmons,CAR,S,-,-,-,,
T350,Justin Simmons,FA,S,-,-,-,,
T350,DeShon Singleton,KC,S,-,-,-,,
T350,JL Skinner,DEN,S,-,-,-,,
T350,Chris Smith,FA,S,-,-,-,Ques,Undisclosed
T350,DQ Smith,FA,S,-,-,-,,
T350,Genesis Smith,LAC,S,-,-,-,,
T350,Harrison Smith,FA,S,-,-,-,,
T350,Tykee Smith,TB,S,-,-,-,,
T350,Daniel Sorensen,FA,S,-,-,-,,
T350,Robert Spears-Jennings,PIT,S,-,-,-,,
T350,Malik Spencer,WAS,S,-,-,-,,
T350,Malaki Starks,BAL,S,-,-,-,,
T350,M.J. Stewart,HOU,S,-,-,-,PUP-P,Quadriceps
T350,Geno Stone,BUF,S,-,-,-,,
T350,Loren Strickland,DET,S,-,-,-,,
T350,Jalen Stroman,SF,S,-,-,-,,
T350,Treydan Stukes,LV,S,-,-,-,,
T350,Lorenzo Styles,NO,S,-,-,-,,
T350,Michael Taaffe,MIA,S,-,-,-,,
T350,Jason Taylor,FA,S,-,-,-,,
T350,Trey Taylor,FA,S,-,-,-,,
T350,Dadrion Taylor-Demerson,ARI,S,-,-,-,,
T350,Roderic Teamer,FA,S,-,-,-,,
T350,Dillon Thieneman,CHI,S,-,-,-,,
T350,A.J. Thomas,FA,S,-,-,-,,
T350,Daniel Thomas,CLE,S,-,-,-,,
T350,Jacob Thomas,MIN,S,-,-,-,,
T350,Jakobe Thomas,MIN,S,-,-,-,,
T350,Juanyeh Thomas,IND,S,-,-,-,,
T350,Michael Thomas,FA,S,-,-,-,,
T350,Rodney Thomas,SEA,S,-,-,-,,
T350,Trevian Thomas,JAX,S,-,-,-,,
T350,Jalen Thompson,DAL,S,-,-,-,Ques,Hip
T350,Trenton Thompson,FA,S,-,-,-,,
T350,Juan Thornhill,FA,S,-,-,-,,
T350,Dante Trader,MIA,S,-,-,-,,
T350,Nolan Turner,FA,S,-,-,-,,
T350,Delarrin Turner-Yell,FA,S,-,-,-,Ques,Knee
T350,Nate Valcarcel,LAR,S,-,-,-,,
T350,La'Kendrick Van Zandt,FA,S,-,-,-,,
T350,Malik Verdon,ATL,S,-,-,-,,
T350,Tanner Wall,LV,S,-,-,-,,
T350,K'Von Wallace,BAL,S,-,-,-,,
T350,Silas Walters,BAL,S,-,-,-,,
T350,Jay Ward,MIN,S,-,-,-,,
T350,Jimmie Ward,FA,S,-,-,-,Ques,Foot
T350,Ar'Darius Washington,NYG,S,-,-,-,,
T350,Trey Washington,IND,S,-,-,-,,
T350,Zion Washington,CLE,S,-,-,-,,
T350,Xavier Watts,ATL,S,-,-,-,Ques,Undisclosed
T350,Lardarius Webb,BAL,S,-,-,-,,
T350,Tre Webb,FA,S,-,-,-,,
T350,Zakee Wheatley,CAR,S,-,-,-,,
T350,Jordan Whitehead,FA,S,-,-,-,,
T350,Evan Williams,GB,S,-,-,-,,
T350,Marcus Williams,FA,S,-,-,-,,
T350,Wydett Williams,ARI,S,-,-,-,,
