,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
145,Harrison Mevis,LAR,K,-,152.30,300.10,,
146,Deebo Samuel,SF,WR,142.20,152.60,166.50,,
147,Rashid Shaheed,SEA,WR,130.10,154.80,151.30,,
148,Denzel Boston,CLE,WR,156.20,155.20,103.90,,
149,Tyjae Spears,TEN,RB,153.00,156.40,156.60,,
150,Brian Robinson,ATL,RB,175.10,157.80,208.30,,
151,Omar Cooper,NYJ,WR,145.10,158.80,91.80,,
152,Travis Hunter,JAX,WR,141.20,159.20,102.90,,
153,Ricky Pearsall,SF,WR,-,160.80,132.80,IR,Knee - PCL
154,Alvin Kamara,NO,RB,164.60,164.00,199.00,,
155,AJ Barner,SEA,TE,174.90,165.20,138.30,,
156,Jake Bates,DET,K,-,166.70,253.60,,
157,Andy Borregales,NE,K,-,167.00,311.20,,
158,Kyler Murray,MIN,QB,112.10,169.00,197.90,,
159,Sam Darnold,SEA,QB,142.30,170.90,196.10,,
160,Tyler Shough,NO,QB,123.30,171.00,195.90,,
161,Keaton Mitchell,LAC,RB,135.90,172.30,202.80,,
162,De'Zhaun Stribling,SF,WR,146.70,173.90,161.90,Ques,Hamstring
163,Chig Okonkwo,WAS,TE,140.20,174.00,161.30,,
164,Antonio Williams,WAS,WR,173.30,175.70,154.60,,
165,Dylan Sampson,CLE,RB,171.80,176.70,160.50,,
166,Jauan Jennings,MIN,WR,155.20,177.70,165.60,,
167,Nicholas Singleton,TEN,RB,209.70,178.10,143.60,,
168,Jalen McMillan,TB,WR,145.90,179.70,147.00,,
169,Malik Willis,MIA,QB,134.70,179.80,267.00,,
170,Emmett Johnson,KC,RB,196.80,181.10,143.60,,
171,Juwan Johnson,NO,TE,156.90,182.70,152.50,,
172,Mike Washington,LV,RB,198.90,183.20,204.70,,
173,Isiah Pacheco,DET,RB,151.40,184.80,163.70,,
174,Tank Bigsby,PHI,RB,161.60,185.30,164.40,,
175,James Conner,ARI,RB,214.70,186.00,212.20,Ques,Foot
176,Braelon Allen,NYJ,RB,212.90,187.90,155.00,,
177,Chris Boswell,PIT,K,-,188.40,248.90,,
178,Harrison Butker,KC,K,-,188.80,255.10,,
179,Will Reichard,MIN,K,-,190.10,251.70,,
180,Tyler Loop,BAL,K,-,191.60,259.70,,
181,Cam Ward,TEN,QB,140.70,192.00,194.00,,
182,Eddy Pineiro,SF,K,-,193.40,312.80,,
183,C.J. Stroud,HOU,QB,144.60,194.60,142.80,,
184,Jalen Nailor,LV,WR,149.10,195.90,205.20,,
185,T.J. Hockenson,MIN,TE,170.60,196.00,157.00,,
186,Dalton Schultz,HOU,TE,168.50,197.50,182.90,,
187,Fernando Mendoza,LV,QB,181.40,199.70,113.10,,
188,Daniel Jones,IND,QB,147.30,200.90,226.10,,
189,Tank Dell,HOU,WR,185.70,201.20,206.50,Ques,Knee - ACL + MCL
190,Zachariah Branch,ATL,WR,181.20,202.80,140.30,,
191,Terrance Ferguson,LAR,TE,182.70,203.50,173.30,,
192,Jerry Jeudy,CLE,WR,177.90,204.10,175.10,,
193,Cade Otton,TB,TE,188.90,205.90,221.50,,
194,Ja'Kobi Lane,BAL,WR,214.70,206.40,179.60,,
195,Gunnar Helm,TEN,TE,181.30,206.50,172.10,,
196,Kaytron Allen,WAS,RB,203.40,208.70,213.40,,
197,Adonai Mitchell,NYJ,WR,173.00,209.40,215.30,,
198,Tre Tucker,LV,WR,155.70,210.30,233.40,,
199,Isaac TeSlaa,DET,WR,168.90,211.40,169.60,,
200,Ryan Flournoy,DAL,WR,163.00,212.80,265.70,,
201,Tre' Harris,LAC,WR,165.80,213.90,167.40,,
202,Eli Stowers,PHI,TE,209.80,214.60,122.10,,
203,Bryce Young,CAR,QB,160.50,215.40,206.60,,
204,Kayshon Boutte,NE,WR,198.00,216.00,174.30,,
205,Tyreek Hill,FA,WR,215.60,217.80,220.20,Ques,Knee - ACL
206,Demond Claiborne,MIN,RB,214.10,218.10,266.70,,
207,Ray Davis,BUF,RB,188.80,219.70,239.10,,
208,Jaylen Wright,MIA,RB,215.60,220.70,241.20,,
209,Malik Washington,MIA,WR,183.00,221.90,235.20,,
210,Germie Bernard,PIT,WR,191.70,222.80,133.00,,
211,Trey Benson,ARI,RB,216.00,223.10,150.00,Ques,Knee
212,David Njoku,LAC,TE,213.10,224.30,211.50,,
213,Sean Tucker,TB,RB,188.80,224.40,238.60,,
214,Kimani Vidal,LAC,RB,213.60,226.30,178.60,,
215,Evan McPherson,CIN,K,-,227.10,197.70,,
216,Kaelon Black,SF,RB,200.00,229.80,232.30,Ques,Thigh
217,Chris Bell,MIA,WR,214.50,230.10,137.30,NFI-A,Knee - ACL
218,Cooper Kupp,SEA,WR,208.50,231.40,273.50,,
219,Jacoby Brissett,ARI,QB,191.40,232.90,361.00,,
220,Elijah Sarratt,BAL,WR,208.90,233.20,149.70,,
221,Cyrus Allen,KC,WR,207.60,234.00,269.90,Ques,Lower Leg
222,MarShawn Lloyd,GB,RB,191.90,235.40,316.40,,
223,Ted Hurst,TB,WR,203.30,236.50,209.50,,
224,Aaron Rodgers,PIT,QB,177.00,237.80,315.00,,
225,Greg Dulcich,MIA,TE,178.60,238.80,317.20,,
226,Colby Parkinson,LAR,TE,211.20,239.90,284.70,,
227,Malachi Fields,NYG,WR,214.30,240.40,170.60,,
228,Brandon Aiyuk,SF,WR,215.30,241.90,170.30,Reserve-DNR,Knee - ACL + MCL
229,Calvin Ridley,TEN,WR,187.60,242.50,332.20,,
230,Darnell Mooney,NYG,WR,199.80,242.80,278.10,,
231,Pat Freiermuth,PIT,TE,194.20,244.80,236.40,,
232,Keon Coleman,BUF,WR,211.00,245.90,217.50,,
233,Theo Johnson,NYG,TE,215.60,246.20,215.30,,
234,Rashod Bateman,BAL,WR,204.50,247.70,325.40,,
235,Jaydon Blue,DAL,RB,188.60,248.00,230.50,,
236,Geno Smith,NYJ,QB,185.90,249.00,422.20,,
237,Kaleb Johnson,PIT,RB,216.00,250.70,168.40,,
238,Tory Horton,SEA,WR,213.10,251.60,237.70,,
239,Jake Tonges,SF,TE,214.70,252.00,222.70,,
240,Pat Bryant,DEN,WR,205.50,253.80,181.40,,
241,Troy Franklin,DEN,WR,213.20,254.10,177.20,,
