,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T285,Emeka Emezie,FA,WR,-,-,-,-,,,,
T285,Alex Erickson,FA,WR,-,-,-,-,,,,
T285,Dee Eskridge,FA,WR,-,-,-,-,,,,
T285,Amba Etta-Tawo,FA,WR,-,-,-,-,,,,
T285,Dontario Drummond,FA,WR,-,-,-,-,,,,
T285,Dylan Drummond,ATL,WR,-,-,-,-,,,,
T285,Grant DuBose,FA,WR,-,-,-,-,,,Ques,Shoulder
T285,Ashton Dulin,IND,WR,-,-,-,-,,,,
T285,Kyre Duplessis,SEA,WR,-,-,-,-,,,,
T285,Devin Duvernay,ARI,WR,-,-,-,-,,,,
T285,Brennan Eagles,FA,WR,-,-,-,-,,,,
T285,Jerrion Ealy,FA,WR,-,-,-,-,,,,
T285,Tru Edwards,LAR,WR,-,-,-,-,,,,
T285,Omari Evans,KC,WR,-,-,-,-,,,,
T285,Erik Ezukanma,PHI,WR,-,-,-,-,,,,
T285,Jequez Ezzard,FA,WR,-,-,-,-,,,,
T285,Simi Fehoko,ARI,WR,-,-,-,-,,,,
T285,Da'Quan Felton,FA,WR,-,-,-,-,,,Ques,Undisclosed
T285,Tai Felton,MIN,WR,-,-,-,-,,5.00,,
T285,Isiah Ferguson,FA,WR,-,-,-,-,,,,
T285,Ethan Fernea,FA,WR,-,-,-,-,,,,
T285,Maurice Ffrench,FA,WR,-,-,-,-,,,,
239,Malachi Fields,NYG,WR,298.07,-,42.92,174.50,5.58,6.25,,
T285,Dez Fitzpatrick,FA,WR,-,-,-,-,,,Ques,Undisclosed
T285,Dontae Fleming,MIN,WR,-,-,-,-,,,,
T285,Luke Floriea,CLE,WR,-,-,-,-,,,,
186,Ryan Flournoy,DAL,WR,208.20,-,-,233.50,1.78,,,
T285,Malik Flowers,FA,WR,-,-,-,-,,,,
T285,Thomas Odukoya,FA,TE,-,-,-,-,,,Ques,Undisclosed
T285,Drew Ogletree,IND,TE,-,-,-,-,,,,
T285,Albert Okwuegbunam,LV,TE,-,-,-,-,,,,
T285,Josh Oliver,MIN,TE,-,-,-,-,,,,
T285,Caleb Lohner,DEN,TE,-,-,-,-,,,Ques,Lower Body
T285,Hunter Long,JAX,TE,-,-,-,-,,,,
T285,James Looney,FA,TE,-,-,-,-,,,,
T285,Tyler Mabry,FA,TE,-,-,-,-,,,Ques,Undisclosed
T285,Devin Mahina,FA,TE,-,-,-,-,,,,
T285,Will Mallory,IND,TE,-,-,-,-,,,,
T285,Chris Manhertz,NYG,TE,-,-,-,-,,,,
T285,David Martin-Robinson,TEN,TE,-,-,-,-,,,,
T285,RJ Maryland,GB,TE,-,-,-,-,,,,
T285,Lance Mason,SEA,TE,-,-,-,429.50,,,,
T285,Moliki Matavao,NO,TE,-,-,-,-,,,,
T285,Jordan Matthews,FA,TE,-,-,-,-,,,,
T285,Michael Mayer,LV,TE,-,-,-,235.20,,6.00,Ques,Nose
T285,Camren McDonald,FA,TE,-,-,-,-,,,,
T285,Sean McKeon,IND,TE,-,-,-,-,,,,
T285,Tre' McKitty,FA,TE,-,-,-,-,,,,
T285,Tanner McLachlan,SF,TE,-,-,-,-,,,IR,Undisclosed
T285,Taylor McNamara,FA,TE,-,-,-,-,,,,
T285,Lake McRee,PIT,TE,-,-,-,457.00,,,,
T285,Jackson Meeks,DET,TE,-,-,-,-,,,,
T285,Carson Meier,FA,TE,-,-,-,-,,,,
T285,Chamon Metayer,CAR,TE,-,-,-,-,,,,
T285,James Mitchell,CAR,TE,-,-,-,-,,,,
T285,John Mitchell,FA,TE,-,-,-,-,,,,
T285,Zaire Mitchell-Paden,NO,TE,-,-,-,-,,,,
T285,Briley Moore,FA,TE,-,-,-,-,,,,
T285,Quentin Moore,WAS,TE,-,-,-,-,,,,
T285,Foster Moreau,HOU,TE,-,-,-,-,,,,
T285,Quintin Morris,JAX,TE,-,-,-,-,,,,
T285,Thaddeus Moss,FA,TE,-,-,-,-,,,,
T285,Johnny Mundt,PHI,TE,-,-,-,-,,,,
T285,Nick Muse,DET,TE,-,-,-,-,,,,
T285,Luke Musgrave,GB,TE,-,-,-,468.00,,6.00,PUP-P,Neck
T285,Chris Myarick,FA,TE,-,-,-,-,,,,
T285,Bryson Nesbit,MIN,TE,-,-,-,-,,,,
T285,Adam Shaheen,FA,TE,-,-,-,-,,,,
T285,Bauer Sharp,TB,TE,-,-,-,404.30,,,,
T285,John Samuel Shenker,FA,TE,-,-,-,-,,,,
T285,Joshua Simon,ATL,TE,-,-,-,-,,,,
T285,Ben Sims,MIA,TE,-,-,-,-,,,,
T285,Ben Sinnott,WAS,TE,-,-,-,377.50,,,,
T285,Stone Smartt,PHI,TE,-,-,-,-,,,,
T285,Irv Smith,FA,TE,-,-,-,-,,,Ques,Ankle
T285,Jonnu Smith,FA,TE,-,-,-,-,,5.00,,
T285,Kaden Smith,FA,TE,-,-,-,-,,,,
T285,Durham Smythe,BAL,TE,-,-,-,-,,,,
T285,Matt Sokol,FA,TE,-,-,-,-,,,,
T285,Brevyn Spann-Ford,DAL,TE,-,-,-,-,,,,
T285,Dylan Stapleton,FA,TE,-,-,-,-,,,,
T285,John Stephens,FA,TE,-,-,-,-,,,,
T285,Luke Stocker,FA,TE,-,-,-,-,,,,
T285,Jack Stoll,CLE,TE,-,-,-,-,,,,
T285,Cade Stover,HOU,TE,-,-,-,-,,,,
T285,Mason Pline,KC,TE,-,-,-,-,,,,
T285,Tony Poljan,FA,TE,-,-,-,-,,,,
T285,Caden Prieskorn,CAR,TE,-,-,-,-,,,,
T285,MyCole Pruitt,FA,TE,-,-,-,-,,,,
T285,Layne Pryor,HOU,TE,-,-,-,-,,,,
T285,Teagan Quitoriano,ARI,TE,-,-,-,-,,,,
T285,Eli Raridon,NE,TE,-,-,29.67,254.20,4.04,2.00,,
T285,Mark Redman,LAR,TE,-,-,-,-,,,,
T285,Tip Reiman,ARI,TE,-,-,-,-,,,PUP-P,Ankle
T285,Giovanni Ricci,FA,TE,-,-,-,-,,,,
T285,Jared Rice,FA,TE,-,-,-,-,,,,
T285,Mike Rigerman,FA,TE,-,-,-,-,,,,
T285,Justin Rigg,FA,TE,-,-,-,-,,,,
T285,Richard Rodgers,FA,TE,-,-,-,-,,,,
T285,Armani Rogers,FA,TE,-,-,-,-,,,,
T285,DJ Rogers,DAL,TE,-,-,-,470.00,,,,
T285,Sam Roush,CHI,TE,-,-,-,449.50,,,,
T285,Joe Royer,CLE,TE,-,-,-,-,,,,
T285,Hayden Rucci,SF,TE,-,-,-,-,,,,
T285,Jeremy Ruckert,NYJ,TE,-,-,-,-,,,,
T285,Carter Runyon,LV,TE,-,-,-,-,,,,
T285,Carsen Ryan,CLE,TE,-,-,-,-,,,,
T285,Justin Joly,DEN,TE,-,-,51.86,302.50,1.56,,,
T285,Rohan Jones,LAR,TE,-,-,-,-,,,,
T285,Brevin Jordan,HOU,TE,-,-,-,-,,,,
T285,Will Kacmarek,MIA,TE,-,-,-,448.50,,,,
T285,Nikola Kalinic,CHI,TE,-,-,-,-,,,,
T285,Nick Kallerup,SEA,TE,-,-,-,-,,,,
T285,Jaren Kanak,TEN,TE,-,-,-,406.50,,,,
T285,Josh Kattus,CIN,TE,-,-,-,-,,,NFI-A,Undisclosed
T285,Max Klare,LAR,TE,-,-,36.22,214.70,2.62,2.40,,
T285,Marlin Klein,HOU,TE,-,-,56.20,407.80,,,,
T285,Cole Kmet,CHI,TE,-,-,-,358.00,1.15,9.00,,
T285,Dawson Knox,BUF,TE,-,-,-,466.50,0.90,5.00,,
T285,Charlie Kolar,LAC,TE,-,-,-,-,,,,
T285,Travis Koontz,FA,TE,-,-,-,-,,,,
T285,Davis Koppenhaver,FA,TE,-,-,-,-,,,,
T285,Tanner Koziol,JAX,TE,-,-,-,367.50,,,,
T285,Ko Kieft,TB,TE,-,-,-,-,,,,
T285,Miles Kitselman,DET,TE,-,-,-,-,,,Ques,Leg
T285,Hayden Large,CHI,TE,-,-,-,-,,,,
T285,Cameron Latu,PHI,TE,-,-,-,-,,,,
T285,Keleki Latu,BUF,TE,-,-,-,-,,,,
T285,Matt Lauter,FA,TE,-,-,-,-,,,,
T285,Dylan Leonard,FA,TE,-,-,-,-,,,,
T285,Marcedes Lewis,FA,TE,-,-,-,-,,,,
T285,Tyler Kroft,FA,TE,-,-,-,-,,,,
T285,Erik Krommenhoek,FA,TE,-,-,-,-,,,,
T285,Lucas Krull,DEN,TE,-,-,-,-,,,,
T285,Zack Kuntz,LV,TE,-,-,-,-,,,,
T285,Luke Lachey,GB,TE,-,-,-,-,,,,
T285,Anthony Landphere,FA,TE,-,-,-,-,,,,
T285,Marshall Lang,MIN,TE,-,-,-,-,,,,
T285,Neal Johnson,FA,TE,-,-,-,-,,,,
T285,J.J. Galbreath,PIT,TE,-,-,-,-,,,,
T285,Jameson Geers,ARI,TE,-,-,-,-,,,,
T285,Mike Gesicki,CIN,TE,-,-,-,347.70,1.14,7.50,,
T285,Nolan Givan,FA,TE,-,-,-,-,,,,
T285,Patrick Herbert,JAX,TE,-,-,-,-,,,,
T285,Chris Herndon,FA,TE,-,-,-,-,,,,
T285,Parker Hesse,FA,TE,-,-,-,-,,,,
T285,Matthew Hibner,BAL,TE,-,-,-,430.00,1.24,,,
T285,Tyler Higbee,LAR,TE,-,-,-,-,0.74,,,
T285,Elijah Higgins,ARI,TE,-,-,-,-,,,,
T285,Julian Hill,NE,TE,-,-,-,-,,,IR,Knee
T285,Taysom Hill,FA,TE,-,-,-,-,,9.00,,
T285,Curtis Hodges,FA,TE,-,-,-,-,,,,
T285,Dallin Holker,FA,TE,-,-,-,-,,,,
T285,J.P. Holtz,FA,TE,-,-,-,-,,,,
T285,Austin Hooper,ATL,TE,-,-,-,-,,,,
T285,Brycen Hopkins,FA,TE,-,-,-,-,,,,
T285,Jesper Horsted,FA,TE,-,-,-,-,,,,
T285,Zach Horton,FA,TE,-,-,-,-,,,,
T285,Parker Houston,FA,TE,-,-,-,-,,,,
T285,Bug Howard,FA,TE,-,-,-,-,,,,
T285,O.J. Howard,FA,TE,-,-,-,-,,,,
T285,J.J. Howland,FA,TE,-,-,-,-,,,,
T285,Garrett Hudson,FA,TE,-,-,-,-,,,,
T285,Tanner Hudson,CIN,TE,-,-,-,-,,,,
T285,Qadir Ismail,CHI,TE,-,-,-,-,,,,
T285,Kalif Jackson,FA,TE,-,-,-,-,,,,
T285,Tyree Jackson,FA,TE,-,-,-,-,,,Ques,Undisclosed
T285,Michael Jacobson,FA,TE,-,-,-,-,,,,
T285,Jesse James,FA,TE,-,-,-,-,,,,
T285,E.J. Jenkins,PHI,TE,-,-,-,-,,,,
T285,Justin Johnson,FA,TE,-,-,-,-,,,,
T285,Jonathan Ward,FA,RB,-,-,-,-,,,,
T285,Chip Trayanum,NYJ,RB,-,-,-,-,,,,
212,Sean Tucker,TB,RB,253.30,-,-,229.60,1.83,7.18,,
T285,De'Montre Tuggle,FA,RB,-,-,-,-,,,,
T285,Xavier Turner,FA,RB,-,-,-,-,,,,
T285,Zamir White,FA,RB,-,-,-,-,,5.00,,
T285,ZaQuandre White,FA,RB,-,-,-,-,,,,
T285,Noah Whittington,HOU,RB,-,-,-,-,,,,
T285,Michael Wiley,FA,RB,-,-,-,-,,,Ques,Undisclosed
193,Antonio Williams,FA,RB,218.01,-,-,-,,,,
T285,D.J. Williams,FA,RB,-,-,-,-,,,Ques,Undisclosed
T285,Jamaal Williams,FA,RB,-,-,-,-,,,,
T285,Jordan Waters,LAR,RB,-,-,-,-,,,,
T285,Blake Watson,FA,RB,-,-,-,-,,,Ques,Undisclosed
T285,Devwah Whaley,FA,RB,-,-,-,-,,,,
T285,Ian Wheeler,BUF,RB,-,-,-,-,,,,
T285,Carlos Washington,MIA,RB,-,-,-,-,,,,
T285,Josh Williams,TB,RB,-,-,-,-,,,,
T285,Gavin Bartholomew,MIN,TE,-,-,-,-,,,Ques,Back
T285,Brenden Bates,CLE,TE,-,-,-,-,,,,
T285,John Bates,WAS,TE,-,-,-,-,,,Ques,Hamstring
T285,Ben Beise,FA,TE,-,-,-,-,,,,
T285,Drew Belcher,FA,TE,-,-,-,-,,,,
T285,Blake Bell,FA,TE,-,-,-,-,,,,
T285,Jaheim Bell,PIT,TE,-,-,-,-,,,,
T285,Daniel Bellinger,TEN,TE,-,-,-,-,,,,
T285,Dallen Bentley,DEN,TE,-,-,-,-,,,,
T285,Shaun Beyer,FA,TE,-,-,-,-,,,,
T285,Kendall Blanton,FA,TE,-,-,-,-,,,,
T285,Nate Boerkircher,JAX,TE,-,-,-,455.00,,,,
T285,Naz Bohannon,FA,TE,-,-,-,-,,,,
T285,Isaiah Spiller,FA,RB,-,-,-,-,,,,
T285,Darren Sproles,FA,RB,-,-,-,-,,,,
T285,William Stanback,FA,RB,-,-,-,-,,,,
T285,Carson Steele,PHI,RB,-,-,-,-,,,,
T285,Terion Stewart,FA,RB,-,-,-,444.50,,,,
T285,Tre Stewart,FA,RB,-,-,-,-,,,,
T285,Pierre Strong,GB,RB,-,-,-,-,,,,
T285,Titus Swen,FA,RB,-,-,-,-,,,,
T285,Jabari Small,DET,RB,-,-,-,-,,,,
T285,Wendell Smallwood,FA,RB,-,-,-,-,,,,
T285,Abram Smith,FA,RB,-,-,-,-,,,,
249,Brashard Smith,KC,RB,310.04,-,-,273.40,,5.67,,
T285,EJ Smith,KC,RB,-,-,-,-,,,,
T285,Ito Smith,FA,RB,-,-,-,-,,,,
T285,Rodney Smith,FA,RB,-,-,-,-,,,,
T285,Benny Snell,FA,RB,-,-,-,-,,,,
T285,Anthony Tyus,CAR,RB,-,-,-,-,,,,
T285,Sione Vaki,DET,RB,-,-,-,401.30,,,Ques,Eye
T285,Xazavian Valladay,FA,RB,-,-,-,-,,,,
T285,Deuce Vaughn,FA,RB,-,-,-,-,,,,
T285,Jordon Vaughn,FA,RB,-,-,-,-,,,,
T285,Ke'Shawn Vaughn,FA,RB,-,-,-,-,,,,
T285,CJ Verdell,FA,RB,-,-,-,-,,,,
T285,Elijah Tau-Tolliver,BAL,RB,-,-,-,-,,,,
T285,Corey Taylor,FA,RB,-,-,-,-,,,,
T285,J'Mari Taylor,JAX,RB,-,-,-,259.00,,,,
T285,J.J. Taylor,FA,RB,-,-,-,-,,,,
T285,Patrick Taylor,SF,RB,-,-,-,-,,,,
T285,Master Teague,FA,RB,-,-,-,-,,,,
T285,SaRodorick Thompson,FA,RB,-,-,-,-,,,,
T285,DeAndre Torrey,FA,RB,-,-,-,-,,,,
T285,Tanner Arkin,NE,TE,-,-,-,-,,,,
T285,Dan Arnold,FA,TE,-,-,-,-,,,,
T285,Elijah Arroyo,SEA,TE,-,-,-,260.90,,5.50,,
T285,Josh Babicz,FA,TE,-,-,-,-,,,,
T285,Stephen Baggett,FA,TE,-,-,-,-,,,,
T285,Noah Fant,NO,TE,-,-,-,-,,5.00,,
T285,Princeton Fant,DAL,TE,-,-,-,-,,,Ques,Knee
T285,Luke Farrell,SF,TE,-,-,-,-,,,,
T229,Terrance Ferguson,LAR,TE,276.55,-,-,176.10,,5.20,,
T285,Thomas Fidone,NYG,TE,-,-,-,-,,,,
T285,Anthony Firkser,DET,TE,-,-,-,-,,,Ques,Leg
T285,Tucker Fisk,FA,TE,-,-,-,-,,,,
T285,John FitzPatrick,FA,TE,-,-,-,-,,,Ques,Achilles
T285,Kenny Fletcher,TB,TE,-,-,-,-,,,,
T285,Miller Forristall,FA,TE,-,-,-,-,,,,
T285,Austin Fort,FA,TE,-,-,-,-,,,,
T285,Jody Fortson,FA,TE,-,-,-,-,,,,
T285,Cole Fotheringham,FA,TE,-,-,-,-,,,,
T285,Feleipe Franks,CAR,TE,-,-,-,-,,,,
206,Pat Freiermuth,PIT,TE,239.40,-,-,232.50,2.14,6.17,,
T285,Troy Fumagalli,FA,TE,-,-,-,-,,,,
T285,Devin Funchess,FA,TE,-,-,-,-,,,,
T285,Thomas Gordon,DET,TE,-,-,-,-,,,,
T285,Cam Grandy,CIN,TE,-,-,-,-,,,Ques,Chest
T285,Colin Granger,FA,TE,-,-,-,-,,,,
T285,Kylen Granson,TEN,TE,-,-,-,-,,,,
T285,Noah Gray,KC,TE,-,-,-,346.40,,7.00,,
T285,Seth Green,FA,TE,-,-,-,-,,,,
T285,Xavier Grimble,FA,TE,-,-,-,-,,,,
T285,Nick Guggemos,FA,TE,-,-,-,-,,,,
T285,Grayson Gunter,FA,TE,-,-,-,-,,,,
T285,Patrick Gurd,LV,TE,-,-,-,-,,,,
T285,John Michael Gyllenborg,KC,TE,-,-,-,-,,,IR,Knee
T285,Heinrich Haarberg,FA,TE,-,-,-,-,,,,
T285,Jeremiah Hall,FA,TE,-,-,-,-,,,,
T285,Louis Hansen,FA,TE,-,-,-,-,,,,
T285,Cody Hardy,NO,TE,-,-,-,-,,,,
T285,Jackson Hawes,BUF,TE,-,-,-,-,,,,
203,Gunnar Helm,TEN,TE,235.20,-,-,166.10,2.73,5.00,,
T285,Nick Bowers,FA,TE,-,-,-,-,,,,
T285,Nick Boyle,FA,TE,-,-,-,-,,,,
T285,Jerand Bradley,LAC,TE,-,-,-,-,,,,
T285,Jacob Breeland,FA,TE,-,-,-,-,,,,
T285,Cade Brewer,FA,TE,-,-,-,-,,,,
T285,Jake Briningstool,KC,TE,-,-,-,-,,,,
T285,Keenen Brown,FA,TE,-,-,-,-,,,,
T285,Pharaoh Brown,FA,TE,-,-,-,-,,,,
T285,Harrison Bryant,FA,TE,-,-,-,-,,,Ques,Undisclosed
T285,Jake Burt,FA,TE,-,-,-,-,,,,
T285,Trey Burton,FA,TE,-,-,-,-,,,,
T285,Matt Bushman,FA,TE,-,-,-,-,,,,
T285,Lawrence Cager,WAS,TE,-,-,-,-,,,,
T285,Grant Calcaterra,PHI,TE,-,-,-,-,,,,
T285,Sal Cannella,FA,TE,-,-,-,-,,,,
T285,Stephen Carlson,CHI,TE,-,-,-,-,,,,
T285,Derek Carrier,FA,TE,-,-,-,-,,,,
T285,Roger Carter,FA,TE,-,-,-,-,,,,
T285,McCallan Castles,FA,TE,-,-,-,-,,,,
T285,Charles Clay,FA,TE,-,-,-,-,,,,
T285,Tyler Conklin,DET,TE,-,-,-,-,,5.00,PUP-P,Knee
T285,Ethan Conner,JAX,TE,-,-,-,-,,,,
T285,Tanner Conner,NYG,TE,-,-,-,-,,,,
T285,Jalin Conyers,FA,TE,-,-,-,-,,,,
T285,Jared Cook,FA,TE,-,-,-,-,,,,
T285,Daniel Crawford,FA,TE,-,-,-,-,,,,
T285,Micky Crum,FA,TE,-,-,-,-,,,,
T285,Josh Cuevas,BAL,TE,-,-,-,-,,,,
T285,Devin Culp,TB,TE,-,-,-,-,,,,
T285,Baylor Cupp,FA,TE,-,-,-,-,,,,
T285,Chase Curtis,NYJ,TE,-,-,-,-,,,,
T285,Drake Dabney,GB,TE,-,-,-,-,,,,
T285,Zach Davidson,FA,TE,-,-,-,-,,,,
T285,Tyler Davis,FA,TE,-,-,-,-,,,,
T285,Easton Dean,FA,TE,-,-,-,-,,,,
T285,Derrick Deese,FA,TE,-,-,-,-,,,,
T285,Josiah Deguara,SF,TE,-,-,-,-,,,,
T285,Oscar Delp,NO,TE,-,-,37.83,255.30,2.41,,,
T285,Garrett Dickerson,FA,TE,-,-,-,-,,,,
T285,Khalil Dinkins,FA,TE,-,-,-,-,,,Ques,Undisclosed
T285,CJ Dippre,NE,TE,-,-,-,-,,,PUP-P,Undisclosed
T285,Will Dissly,FA,TE,-,-,-,-,,,Ques,Undisclosed
T216,Greg Dulcich,MIA,TE,260.40,-,-,253.40,2.54,,,
T285,Payne Durham,TB,TE,-,-,-,-,,,,
T285,Ross Dwelley,FA,TE,-,-,-,-,,,,
T285,Eric Ebron,FA,TE,-,-,-,-,,,,
T285,Jack Endries,CIN,TE,-,-,-,331.80,,,,
226,Evan Engram,DEN,TE,270.55,-,-,319.10,0.99,20.40,,
T285,Zach Ertz,FA,TE,-,-,-,-,,8.29,Ques,Knee - ACL
T285,Mitchell Evans,CAR,TE,-,-,-,-,,,,
T285,Gerald Everett,FA,TE,-,-,-,-,,,,
T285,Michael Ezeike,FA,TE,-,-,-,-,,,,
T285,Rivaldo Fairweather,ARI,TE,-,-,-,-,,,,
T285,Pooka Williams,FA,RB,-,-,-,-,,,,
T285,Rasheed Williams,FA,RB,-,-,-,-,,,,
T285,Trayveon Williams,FA,RB,-,-,-,-,,,,
153,Emanuel Wilson,SEA,RB,166.20,-,-,211.50,1.41,7.43,,
T285,Jeff Wilson,FA,RB,-,-,-,-,,,,
T285,Jacardia Wright,SEA,RB,-,-,-,-,,,,
236,Jaylen Wright,MIA,RB,291.95,-,-,224.70,,7.67,,
T285,Owen Wright,FA,RB,-,-,-,-,,,,
T285,T.J. Yeldon,FA,RB,-,-,-,-,,,,
T285,Micah Abernathy,FA,S,-,-,-,-,,,,
T285,Johnathan Abram,FA,S,-,-,-,-,,,,
T285,Jamal Adams,MIN,S,-,-,-,-,,,,
T285,Tony Adams,TEN,S,-,-,-,-,,,,
T285,Nasir Adderley,FA,S,-,-,-,-,,,,
T285,Jon Alexander,FA,S,-,-,-,-,,,,
T285,Ugo Amadi,FA,S,-,-,-,-,,,,
T285,Adrian Amos,FA,S,-,-,-,-,,,,
T285,Tycen Anderson,DEN,S,-,-,-,-,,,,
T285,Zayne Anderson,MIA,S,-,-,-,-,,,,
T285,Daijahn Anthony,CIN,S,-,-,-,-,,,,
T285,Grayland Arnold,FA,S,-,-,-,-,,,,
T285,Noah Avinger,LAC,S,-,-,-,-,,,,
T285,Budda Baker,ARI,S,-,-,-,-,4.03,,,
T285,Marcus Banks,TB,S,-,-,-,-,,,,
T285,Jessie Bates,ATL,S,-,-,-,-,3.50,,,
T285,John Battle,FA,S,-,-,-,-,,,,
T285,Jordan Battle,CIN,S,-,-,-,-,,,,
T285,D'Anthony Bell,SEA,S,-,-,-,-,,,,
T285,Markquese Bell,DAL,S,-,-,-,-,,,,
T285,Vonn Bell,FA,S,-,-,-,-,,,,
T285,Dane Belton,NYJ,S,-,-,-,-,,,,
T285,Cole Bishop,BUF,S,-,-,-,-,,,Ques,Knee
T285,Julian Blackmon,NO,S,-,-,-,-,,,,
T285,Marquise Blair,FA,S,-,-,-,-,,,,
T285,Reed Blankenship,HOU,S,-,-,-,-,,,,
T285,Joey Blount,ARI,S,-,-,-,-,,,Ques,Undisclosed
T285,Bubba Bolden,FA,S,-,-,-,-,,,,
T285,Billy Bowman,ATL,S,-,-,-,-,,,PUP-P,Achilles
T285,Beau Brade,NYG,S,-,-,-,-,,,,
T285,Brian Branch,DET,S,-,-,-,-,,,PUP-P,Achilles
T285,Jaquan Brisker,PIT,S,-,-,-,-,,,,
T285,Kendell Brooks,TEN,S,-,-,-,-,,,,
T285,Larry Brooks,FA,S,-,-,-,-,,,,
T285,Aamaris Brown,DET,S,-,-,-,-,,,,
T285,Austin Brown,IND,S,-,-,-,-,,,,
T285,Ji'Ayir Brown,SF,S,-,-,-,-,,,,
T285,Mike Brown,NE,S,-,-,-,-,,,,
T285,Omar Brown,MIA,S,-,-,-,-,,,,
T285,Sydney Brown,ATL,S,-,-,-,-,,,,
T285,Coby Bryant,CHI,S,-,-,-,-,,,Ques,Knee
T285,Javon Bullard,GB,S,-,-,-,-,,,,
T285,Calen Bullock,HOU,S,-,-,-,-,,,,
T285,Terrell Burgess,NO,S,-,-,-,-,,,,
T285,Major Burns,MIA,S,-,-,-,-,,,,
T285,Deon Bush,FA,S,-,-,-,-,,,Ques,Achilles
T285,Percy Butler,WAS,S,-,-,-,-,,,,
T285,Kevin Byard,NE,S,-,-,-,-,2.38,,,
T285,Camryn Bynum,IND,S,-,-,-,-,,,,
T285,Elijah Campbell,NYG,S,-,-,-,-,,,,
T285,Derrick Canteen,TEN,S,-,-,-,-,,,,
T285,Sebastian Castro,PIT,S,-,-,-,-,,,,
T285,Andre Chachere,FA,S,-,-,-,-,,,,
T285,Duce Chestnut,FA,S,-,-,-,-,,,,
T285,Zion Childress,DAL,S,-,-,-,-,,,Ques,Hamstring
T285,Jeremy Chinn,LV,S,-,-,-,-,,,,
T285,Lewis Cine,FA,S,-,-,-,-,,,,
T285,Andre Cisco,NYJ,S,-,-,-,-,,,Ques,Pectoral
T285,Alijah Clark,DAL,S,-,-,-,-,,,,
T285,Bud Clark,SEA,S,-,-,-,-,,,,
T285,Chuck Clark,DET,S,-,-,-,-,,,,
T285,Dean Clark,NYJ,S,-,-,-,-,,,,
T285,Hudson Clark,FA,S,-,-,-,-,,,,
T285,Adrian Colbert,FA,S,-,-,-,-,,,,
T285,Chamarri Conner,KC,S,-,-,-,-,3.16,,,
T285,Alex Cook,LAR,S,-,-,-,-,,,,
T285,Bryan Cook,CIN,S,-,-,-,-,,,,
T285,Kitan Crawford,ARI,S,-,-,-,-,,,Ques,Ankle
T285,Nick Cross,WAS,S,-,-,-,-,,,,
T285,Dane Cruikshank,FA,S,-,-,-,-,,,,
T285,Kamren Curl,LAR,S,-,-,-,-,3.36,,,
T285,Marcel Dabo,FA,S,-,-,-,-,,,,
T285,Ashtyn Davis,SF,S,-,-,-,-,,,,
T285,Elliott Davison,NO,S,-,-,-,-,,,,
T285,Cooper DeJean,PHI,S,-,-,-,-,,,,
T285,Grant Delpit,CLE,S,-,-,-,-,,,,
T285,Ben DeLuca,FA,S,-,-,-,-,,,,
T285,Trevor Denbow,FA,S,-,-,-,-,,,,
T285,Quandre Diggs,FA,S,-,-,-,-,,,,
T285,Malik Dixon-Williams,FA,S,-,-,-,-,,,,
T285,Caleb Downs,DAL,S,-,-,20.89,-,,,,
T285,Kyle Dugger,CIN,S,-,-,-,-,,,,
T285,Christopher Edmonds,CLE,S,-,-,-,-,,,,
T285,Terrell Edmunds,FA,S,-,-,-,-,,,,
T285,Mike Edwards,FA,S,-,-,-,-,,,,
T285,DeShon Elliott,PIT,S,-,-,-,-,3.55,,,
T285,Jalen Elliott,FA,S,-,-,-,-,,,,
T285,Nick Emmanwori,SEA,S,-,-,-,-,,,PUP-P,Ankle
T285,Marcus Epps,PHI,S,-,-,-,-,,,,
T285,AJ Finley,SEA,S,-,-,-,-,,,Ques,Knee
T285,Bishop Fitzgerald,TEN,S,-,-,-,-,,,,
T285,Minkah Fitzpatrick,NYJ,S,-,-,-,-,2.10,,,
T285,Darrick Forrest,SF,S,-,-,-,-,,,IR,Undisclosed
T285,Sam Franklin,BUF,S,-,-,-,-,,,,
T285,Jordan Fuller,FA,S,-,-,-,-,,,,
T285,C.J. Gardner-Johnson,BUF,S,-,-,-,-,,,Ques,Calf
T285,Marcus Gilchrist,FA,S,-,-,-,-,,,,
T285,Alohi Gilman,KC,S,-,-,-,-,2.46,,,
T285,Tashaun Gipson,FA,S,-,-,-,-,,,,
T285,Devin Grant,LAC,S,-,-,-,-,,,,
T285,Richie Grant,FA,S,-,-,-,-,,,,
T285,J.T. Gray,PHI,S,-,-,-,-,,,,
T285,Kapena Gushiken,PHI,S,-,-,-,-,,,,
T285,Kahlef Hailassie,MIN,S,-,-,-,-,,,,
T285,Erick Hallett,TEN,S,-,-,-,-,,,,
T285,Kyle Hamilton,BAL,S,-,-,-,-,,,,
T285,Damar Hamlin,BUF,S,-,-,-,-,,,,
T285,Jordan Hancock,BUF,S,-,-,-,-,,,,
T285,Thomas Harper,DET,S,-,-,-,-,,,Ques,Concussion
T285,Will Harris,WAS,S,-,-,-,-,,,,
T285,A.J. Haulcy,IND,S,-,-,41.88,-,,,,
T285,Jaylinn Hawkins,BAL,S,-,-,-,-,,,,
T285,DeMarcco Hellams,ATL,S,-,-,-,-,,,Ques,Hamstring
