,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
101,Quentin Johnston,LAC,WR,100.80,110.90,-,98.50,7.34,10.66,,
140,Mark Andrews,BAL,TE,143.60,111.00,-,148.10,5.10,19.71,,
129,Jordan Mason,MIN,RB,129.20,112.40,-,127.10,7.86,11.88,,
96,Wan'Dale Robinson,TEN,WR,95.60,113.60,-,93.20,6.07,7.71,,
139,Tyrone Tracy,NYG,RB,139.80,114.20,-,134.10,,16.95,,
87,Matthew Stafford,LAR,QB,88.20,115.50,-,141.20,13.00,22.36,,
T147,Brandon Aubrey,DAL,K,155.60,116.70,-,238.20,,11.03,,
174,Cameron Dicker,LAC,K,193.40,120.70,-,242.30,1.58,7.50,,
184,Zach Charbonnet,SEA,RB,205.20,121.70,-,101.80,6.42,21.06,PUP-P,Knee - ACL
118,George Kittle,SF,TE,117.20,122.90,-,102.20,9.23,39.40,PUP-P,Achilles
115,KC Concepcion,CLE,WR,114.20,123.90,7.17,74.40,18.47,4.77,Ques,Shoulder
107,Bo Nix,DEN,QB,106.40,125.70,-,80.60,,32.51,,
102,Brock Purdy,SF,QB,102.20,125.90,-,103.80,8.98,32.40,,
92,Jonathon Brooks,CAR,RB,93.52,127.40,-,104.90,,2.86,,
170,Jason Myers,SEA,K,186.80,128.40,-,247.20,2.18,5.25,,
127,Travis Kelce,KC,TE,127.20,129.90,-,143.80,6.19,20.10,,
110,Jayden Reed,GB,WR,108.60,132.20,-,125.10,3.62,13.36,,
98,Jared Goff,DET,QB,98.20,133.80,-,150.90,8.98,33.54,,
130,Woody Marks,HOU,RB,130.60,134.80,-,124.80,,9.43,,
112,Jayden Higgins,HOU,WR,110.80,134.80,-,107.40,,9.29,,
138,Deebo Samuel,SF,WR,139.33,137.40,-,186.10,3.98,24.38,,
158,Ka'imi Fairbairn,HOU,K,172.40,138.80,-,244.60,1.29,6.83,,
185,Tyler Loop,BAL,K,207.20,139.30,-,287.40,,5.15,,
175,Dalton Schultz,HOU,TE,195.40,141.80,-,197.20,1.84,6.96,,
T216,Chris Boswell,PIT,K,260.40,142.20,-,283.90,1.64,6.30,,
169,Cam Little,JAX,K,186.40,143.10,-,242.80,2.32,5.58,,
231,Harrison Mevis,LAR,K,277.60,145.90,-,300.90,1.46,5.00,,
204,Harrison Butker,KC,K,235.40,146.30,-,350.50,,8.00,,
121,Baker Mayfield,TB,QB,120.20,148.00,-,132.50,8.63,29.24,,
T282,Ricky Pearsall,SF,WR,999.00,149.00,-,115.30,,13.87,IR,Knee - PCL
116,Josh Downs,IND,WR,114.40,150.90,-,119.70,5.07,12.26,,
104,Rachaad White,WAS,RB,103.33,151.40,-,139.20,9.34,13.33,,
160,Kenyon Sadiq,NYJ,TE,176.99,152.50,16.54,80.30,13.16,5.00,,
132,Jordan Love,GB,QB,133.60,152.80,-,131.90,6.31,33.23,,
T285,Emmett Johnson,KC,RB,-,154.30,27.38,137.40,7.34,2.94,,
125,Xavier Worthy,KC,WR,123.80,155.50,-,113.60,,19.83,Ques,Shoulder
144,Isaiah Likely,NYG,TE,151.20,156.70,-,106.70,5.76,7.55,,
100,Romeo Doubs,NE,WR,100.20,157.00,-,129.50,5.27,10.32,,
113,Khalil Shakir,BUF,WR,112.20,158.40,-,143.10,4.85,16.16,,
T166,Alvin Kamara,NO,RB,182.40,159.60,-,185.10,4.06,45.00,,
T135,Juwan Johnson,NO,TE,137.20,160.80,-,165.00,3.06,7.07,,
T147,Brenton Strange,JAX,TE,155.60,161.70,-,118.60,3.89,7.32,,
172,AJ Barner,SEA,TE,189.40,161.90,-,140.70,2.57,5.65,,
146,Stefon Diggs,FA,WR,154.40,164.30,-,187.00,4.50,19.89,,
248,Trey Benson,ARI,RB,308.38,165.90,-,157.30,,12.30,Ques,Knee
123,Matthew Golden,GB,WR,122.20,166.50,-,97.10,,23.16,,
164,Chig Okonkwo,WAS,TE,180.40,167.20,-,158.20,3.68,5.50,,
149,Tyjae Spears,TEN,RB,157.80,169.10,-,156.90,4.71,9.89,,
195,Andy Borregales,NE,K,222.20,170.10,-,292.90,,5.00,,
232,Sam Darnold,SEA,QB,282.15,170.70,-,168.40,8.07,21.24,,
117,Kyler Murray,MIN,QB,116.20,172.00,-,177.40,11.09,29.74,,
163,Jonah Coleman,DEN,RB,178.91,173.80,25.21,111.80,12.85,3.72,,
205,Jake Bates,DET,K,237.40,174.90,-,291.20,1.24,6.47,,
T285,Antonio Williams,WAS,WR,-,176.70,17.00,162.00,10.12,2.67,,
143,Dylan Sampson,CLE,RB,148.60,177.30,-,154.40,,8.48,,
154,T.J. Hockenson,MIN,TE,167.40,178.30,-,170.90,4.46,20.25,,
209,Will Reichard,MIN,K,245.60,179.80,-,282.50,,5.58,,
T135,Chris Rodriguez,JAX,RB,137.20,181.90,-,169.60,4.71,5.93,,
133,Rashid Shaheed,SEA,WR,134.60,182.50,-,149.50,3.82,9.87,,
126,Jauan Jennings,MIN,WR,126.20,183.50,-,175.70,2.98,13.13,,
198,Tyreek Hill,FA,WR,228.79,184.80,-,230.10,5.04,92.67,Ques,Knee - ACL
142,Denzel Boston,CLE,WR,148.20,185.10,21.29,109.30,10.36,4.85,,
124,Jalen Coker,CAR,WR,122.60,186.00,-,130.60,2.75,6.35,,
137,Tyler Shough,NO,QB,139.20,187.70,-,163.50,4.98,12.39,,
165,Tank Bigsby,PHI,RB,181.40,188.10,-,152.90,2.40,9.86,,
134,Omar Cooper,NYJ,WR,136.20,189.00,12.00,91.90,16.51,3.50,,
T166,Kimani Vidal,LAC,RB,182.40,191.50,-,178.60,3.02,8.85,,
183,Cam Ward,TEN,QB,205.08,193.30,-,161.10,,13.32,,
173,Braelon Allen,NYJ,RB,190.40,194.50,-,152.40,,13.21,,
145,De'Zhaun Stribling,SF,WR,154.23,195.30,18.92,147.60,7.91,,Ques,Hamstring
182,Malik Washington,MIA,WR,203.40,196.50,-,223.50,2.95,5.63,,
131,Malik Willis,MIA,QB,132.60,197.00,-,208.20,7.16,9.70,,
T285,Ja'Kobi Lane,BAL,WR,-,197.70,38.43,191.00,1.70,2.92,,
152,Jalen Nailor,LV,WR,163.20,199.80,-,182.50,2.33,5.00,,
190,Bryce Young,CAR,QB,214.59,200.50,-,203.10,4.60,20.59,,
T285,Chase McLaughlin,TB,K,-,201.00,-,285.90,1.20,5.85,,
189,Eddy Pineiro,SF,K,214.40,202.00,-,295.40,1.03,5.33,,
207,Travis Hunter,JAX,WR,241.86,203.30,-,122.80,,14.40,,
208,Eli Stowers,PHI,TE,242.60,204.30,17.33,121.50,10.02,3.09,,
T285,Wil Lutz,DEN,K,-,205.00,-,353.80,1.22,5.58,,
177,Ray Davis,BUF,RB,197.00,206.00,-,220.10,,9.00,,
T285,Mike Washington,LV,RB,-,206.50,25.77,160.30,3.90,2.00,,
197,Cairo Santos,CHI,K,226.40,208.80,-,359.20,,5.17,,
T285,Charleston Rambo,FA,WR,-,209.50,-,-,,,,
T285,Peyton Hendershot,FA,TE,-,210.00,-,-,,,,
